mfc/s,num_threads,vector_size
40.5154, 1, 1000000
67.7002, 2, 1000000
92.5069, 3, 1000000
110.193, 4, 1000000
124.517, 5, 1000000
132.521, 6, 1000000
143.947, 7, 1000000
143.266, 8, 1000000
152.277, 9, 1000000
159.033, 10, 1000000
118.807, 11, 1000000
145.582, 12, 1000000
171.497, 13, 1000000
163.613, 14, 1000000
167.084, 15, 1000000
168.35, 16, 1000000
44.4089, 1, 2000000
78.2534, 2, 2000000
109.83, 3, 2000000
133.547, 4, 2000000
153.268, 5, 2000000
177.588, 6, 2000000
190.204, 7, 2000000
208.464, 8, 2000000
233.019, 9, 2000000
228.05, 10, 2000000
241.488, 11, 2000000
249.159, 12, 2000000
254.453, 13, 2000000
247.005, 14, 2000000
232.369, 15, 2000000
270.929, 16, 2000000
48.0261, 1, 3000000
85.3947, 2, 3000000
118.507, 3, 3000000
147.297, 4, 3000000
179.04, 5, 3000000
197.381, 6, 3000000
217.281, 7, 3000000
242.64, 8, 3000000
257.4, 9, 3000000
264.34, 10, 3000000
279.694, 11, 3000000
299.551, 12, 3000000
294.811, 13, 3000000
315.126, 14, 3000000
318.674, 15, 3000000
305.998, 16, 3000000
50.8886, 1, 4000000
89.0869, 2, 4000000
124.281, 3, 4000000
157.542, 4, 4000000
185.185, 5, 4000000
215.088, 6, 4000000
235.919, 7, 4000000
255.395, 8, 4000000
189.502, 9, 4000000
299.021, 10, 4000000
313.308, 11, 4000000
334.225, 12, 4000000
350.048, 13, 4000000
358.134, 14, 4000000
373.413, 15, 4000000
265.816, 16, 4000000
53.5372, 1, 5000000
93.3846, 2, 5000000
129.934, 3, 5000000
159.464, 4, 5000000
187.308, 5, 5000000
224.115, 6, 5000000
250.088, 7, 5000000
276.702, 8, 5000000
180.74, 9, 5000000
319.081, 10, 5000000
343.572, 11, 5000000
327.011, 12, 5000000
377.045, 13, 5000000
411.726, 14, 5000000
401.123, 15, 5000000
364.272, 16, 5000000
55.4708, 1, 6000000
185.071, 2, 6000000
133.779, 3, 6000000
170.121, 4, 6000000
212.698, 5, 6000000
232.468, 6, 6000000
258.342, 7, 6000000
289.813, 8, 6000000
316.106, 9, 6000000
297.089, 10, 6000000
352.361, 11, 6000000
373.762, 12, 6000000
403.334, 13, 6000000
259.729, 14, 6000000
441.014, 15, 6000000
451.671, 16, 6000000
57.834, 1, 7000000
99.2908, 2, 7000000
138.765, 3, 7000000
172.164, 4, 7000000
191.823, 5, 7000000
227.946, 6, 7000000
271.644, 7, 7000000
297.114, 8, 7000000
326.965, 9, 7000000
344.166, 10, 7000000
377.44, 11, 7000000
393.457, 12, 7000000
427.35, 13, 7000000
441.585, 14, 7000000
464.746, 15, 7000000
487.533, 16, 7000000
60.0132, 1, 8000000
102.311, 2, 8000000
141.343, 3, 8000000
179.735, 4, 8000000
214.771, 5, 8000000
245.957, 6, 8000000
279.164, 7, 8000000
307.527, 8, 8000000
289.824, 9, 8000000
359.906, 10, 8000000
387.353, 11, 8000000
400.08, 12, 8000000
266.916, 13, 8000000
477.84, 14, 8000000
474.299, 15, 8000000
451.238, 16, 8000000
57.6502, 1, 9000000
91.1771, 2, 9000000
144.557, 3, 9000000
182.678, 4, 9000000
217.47, 5, 9000000
249.875, 6, 9000000
283.277, 7, 9000000
314.784, 8, 9000000
344.696, 9, 9000000
315.789, 10, 9000000
360.707, 11, 9000000
305.977, 12, 9000000
445.5, 13, 9000000
408.163, 14, 9000000
309.587, 15, 9000000
517.241, 16, 9000000
78.0457, 1, 10000000
107.789, 2, 10000000
147.514, 3, 10000000
184.505, 4, 10000000
216.901, 5, 10000000
254.414, 6, 10000000
285.894, 7, 10000000
302.737, 8, 10000000
325.913, 9, 10000000
383.186, 10, 10000000
397.235, 11, 10000000
294.594, 12, 10000000
468.472, 13, 10000000
457.771, 14, 10000000
480.169, 15, 10000000
319.795, 16, 10000000
