mfc/s,num_threads,vector_size
14.1177, 1, 1000000
16.5063, 2, 1000000
18.5096, 3, 1000000
18.0125, 4, 1000000
19.7414, 5, 1000000
20.0321, 6, 1000000
19.933, 7, 1000000
18.9829, 8, 1000000
20.4165, 9, 1000000
20.8108, 10, 1000000
19.9545, 11, 1000000
20.6156, 12, 1000000
21.6025, 13, 1000000
16.4579, 14, 1000000
21.4989, 15, 1000000
20.6684, 16, 1000000
23.2715, 1, 2000000
30.3633, 2, 2000000
33.4353, 3, 2000000
34.9546, 4, 2000000
35.5259, 5, 2000000
37.6152, 6, 2000000
37.0837, 7, 2000000
39.4135, 8, 2000000
39.2141, 9, 2000000
39.4914, 10, 2000000
39.5703, 11, 2000000
37.5347, 12, 2000000
34.6554, 13, 2000000
39.9369, 14, 2000000
31.7758, 15, 2000000
41.1692, 16, 2000000
28.7114, 1, 3000000
37.864, 2, 3000000
48.2238, 3, 3000000
50.6825, 4, 3000000
52.8336, 5, 3000000
54.7705, 6, 3000000
56.2019, 7, 3000000
51.3839, 8, 3000000
50.6081, 9, 3000000
54.9249, 10, 3000000
56.0214, 11, 3000000
56.3539, 12, 3000000
47.8927, 13, 3000000
46.3306, 14, 3000000
48.3621, 15, 3000000
46.4188, 16, 3000000
33.0592, 1, 4000000
48.8627, 2, 4000000
55.5849, 3, 4000000
63.5203, 4, 4000000
64.6559, 5, 4000000
67.5037, 6, 4000000
65.9641, 7, 4000000
67.8484, 8, 4000000
67.5197, 9, 4000000
72.7551, 10, 4000000
68.7356, 11, 4000000
72.4401, 12, 4000000
72.8253, 13, 4000000
71.664, 14, 4000000
68.0122, 15, 4000000
76.7151, 16, 4000000
36.8862, 1, 5000000
59.609, 2, 5000000
77.659, 3, 5000000
75.6281, 4, 5000000
80.1167, 5, 5000000
82.6884, 6, 5000000
85.1977, 7, 5000000
83.6624, 8, 5000000
85.0239, 9, 5000000
86.0852, 10, 5000000
90.5748, 11, 5000000
87.5427, 12, 5000000
92.3242, 13, 5000000
79.3651, 14, 5000000
77.2153, 15, 5000000
77.2833, 16, 5000000
40.2541, 1, 6000000
59.9179, 2, 6000000
76.8334, 3, 6000000
83.8727, 4, 6000000
91.2839, 5, 6000000
96.5577, 6, 6000000
98.9413, 7, 6000000
105.615, 8, 6000000
95.9003, 9, 6000000
97.2526, 10, 6000000
98.1852, 11, 6000000
106.944, 12, 6000000
106.967, 13, 6000000
104.344, 14, 6000000
92.4058, 15, 6000000
91.1314, 16, 6000000
43.4753, 1, 7000000
62.5883, 2, 7000000
77.8877, 3, 7000000
93.2078, 4, 7000000
101.162, 5, 7000000
133.466, 6, 7000000
132.275, 7, 7000000
120.982, 8, 7000000
109.495, 9, 7000000
115.62, 10, 7000000
115.105, 11, 7000000
104.185, 12, 7000000
100.984, 13, 7000000
129.522, 14, 7000000
117.381, 15, 7000000
126.521, 16, 7000000
43.2327, 1, 8000000
72.3203, 2, 8000000
91.78, 3, 8000000
102.084, 4, 8000000
111.769, 5, 8000000
116.05, 6, 8000000
120.919, 7, 8000000
126.51, 8, 8000000
121.725, 9, 8000000
125.814, 10, 8000000
125.284, 11, 8000000
130.054, 12, 8000000
110.67, 13, 8000000
127.575, 14, 8000000
118.097, 15, 8000000
102.621, 16, 8000000
48.2962, 1, 9000000
71.6344, 2, 9000000
98.8121, 3, 9000000
109.917, 4, 9000000
121.826, 5, 9000000
125.406, 6, 9000000
133.984, 7, 9000000
141.94, 8, 9000000
115.908, 9, 9000000
132.636, 10, 9000000
162.981, 11, 9000000
140.178, 12, 9000000
147.961, 13, 9000000
133.024, 14, 9000000
151.017, 15, 9000000
156.028, 16, 9000000
55.5044, 1, 10000000
75.2428, 2, 10000000
100.052, 3, 10000000
134.626, 4, 10000000
128.742, 5, 10000000
128.305, 6, 10000000
138.015, 7, 10000000
143.379, 8, 10000000
124.779, 9, 10000000
137.842, 10, 10000000
163.94, 11, 10000000
157.686, 12, 10000000
161.559, 13, 10000000
161.457, 14, 10000000
168.441, 15, 10000000
134.653, 16, 10000000
