mfc/s,num_threads,vector_size
4, 1, 200000
4, 2, 200000
3.33333, 3, 200000
2.5, 4, 200000
2.5, 5, 200000
2.22222, 6, 200000
2, 7, 200000
2, 8, 200000
1.81818, 9, 200000
1.66667, 10, 200000
1.25, 11, 200000
1.53846, 12, 200000
1.25, 13, 200000
1.25, 14, 200000
0.952381, 15, 200000
0.540541, 16, 200000
6.66667, 1, 400000
6.66667, 2, 400000
5, 3, 400000
5.71429, 4, 400000
4.44444, 5, 400000
4, 6, 400000
3.63636, 7, 400000
3.63636, 8, 400000
3.63636, 9, 400000
3.07692, 10, 400000
2.85714, 11, 400000
1.73913, 12, 400000
2.85714, 13, 400000
2.5, 14, 400000
2.5, 15, 400000
1.6, 16, 400000
10, 1, 600000
8.57143, 2, 600000
8.57143, 3, 600000
7.5, 4, 600000
6, 5, 600000
6, 6, 600000
5, 7, 600000
5.45455, 8, 600000
5, 9, 600000
4.61538, 10, 600000
4.28571, 11, 600000
3.75, 12, 600000
1.42857, 13, 600000
3, 14, 600000
3.33333, 15, 600000
2.85714, 16, 600000
13.3333, 1, 800000
11.4286, 2, 800000
10, 3, 800000
10, 4, 800000
8, 5, 800000
7.27273, 6, 800000
7.27273, 7, 800000
7.27273, 8, 800000
6.15385, 9, 800000
6.15385, 10, 800000
5.71429, 11, 800000
4.70588, 12, 800000
3.2, 13, 800000
5, 14, 800000
1.77778, 15, 800000
2.28571, 16, 800000
14.2857, 1, 1000000
14.2857, 2, 1000000
11.1111, 3, 1000000
11.1111, 4, 1000000
11.1111, 5, 1000000
12.5, 6, 1000000
10, 7, 1000000
8.33333, 8, 1000000
7.69231, 9, 1000000
7.69231, 10, 1000000
7.14286, 11, 1000000
3.33333, 12, 1000000
6.25, 13, 1000000
5.88235, 14, 1000000
4.7619, 15, 1000000
2.85714, 16, 1000000
17.1429, 1, 1200000
15, 2, 1200000
13.3333, 3, 1200000
13.3333, 4, 1200000
10.9091, 5, 1200000
12, 6, 1200000
10, 7, 1200000
9.23077, 8, 1200000
9.23077, 9, 1200000
8.57143, 10, 1200000
4.28571, 11, 1200000
4, 12, 1200000
3.42857, 13, 1200000
6, 14, 1200000
3.42857, 15, 1200000
5.45455, 16, 1200000
20, 1, 1400000
17.5, 2, 1400000
17.5, 3, 1400000
15.5556, 4, 1400000
12.7273, 5, 1400000
11.6667, 6, 1400000
10.7692, 7, 1400000
10.7692, 8, 1400000
9.33333, 9, 1400000
8.75, 10, 1400000
7.77778, 11, 1400000
8.23529, 12, 1400000
7.77778, 13, 1400000
4.11765, 14, 1400000
7.36842, 15, 1400000
3.68421, 16, 1400000
20, 1, 1600000
17.7778, 2, 1600000
16, 3, 1600000
17.7778, 4, 1600000
16, 5, 1600000
13.3333, 6, 1600000
14.5455, 7, 1600000
11.4286, 8, 1600000
10.6667, 9, 1600000
10, 10, 1600000
10.6667, 11, 1600000
8.42105, 12, 1600000
6.95652, 13, 1600000
6.95652, 14, 1600000
7.27273, 15, 1600000
7.61905, 16, 1600000
22.5, 1, 1800000
18, 2, 1800000
20, 3, 1800000
18, 4, 1800000
16.3636, 5, 1800000
16.3636, 6, 1800000
15, 7, 1800000
12.8571, 8, 1800000
11.25, 9, 1800000
11.25, 10, 1800000
10, 11, 1800000
10.5882, 12, 1800000
7.2, 13, 1800000
8.57143, 14, 1800000
9.47368, 15, 1800000
7.5, 16, 1800000
25, 1, 2000000
22.2222, 2, 2000000
18.1818, 3, 2000000
18.1818, 4, 2000000
18.1818, 5, 2000000
16.6667, 6, 2000000
15.3846, 7, 2000000
13.3333, 8, 2000000
13.3333, 9, 2000000
11.7647, 10, 2000000
11.7647, 11, 2000000
9.09091, 12, 2000000
10.5263, 13, 2000000
8.69565, 14, 2000000
9.09091, 15, 2000000
7.14286, 16, 2000000
27.5, 1, 2200000
24.4444, 2, 2200000
20, 3, 2200000
18.3333, 4, 2200000
18.3333, 5, 2200000
20, 6, 2200000
16.9231, 7, 2200000
14.6667, 8, 2200000
11.5789, 9, 2200000
12.9412, 10, 2200000
11, 11, 2200000
12.9412, 12, 2200000
10.4762, 13, 2200000
10.4762, 14, 2200000
11, 15, 2200000
9.16667, 16, 2200000
30, 1, 2400000
26.6667, 2, 2400000
20, 3, 2400000
21.8182, 4, 2400000
