mfc/s,num_threads,vector_size
42.2222, 3, 3800000
42.2222, 4, 3800000
42.2222, 5, 3800000
42.2222, 6, 3800000
42.2222, 7, 3800000
42.2222, 8, 3800000
42.2222, 9, 3800000
38, 10, 3800000
38, 11, 3800000
42.2222, 12, 3800000
47.5, 13, 3800000
20, 14, 3800000
42.2222, 15, 3800000
34.5455, 16, 3800000
57.1429, 1, 4000000
44.4444, 2, 4000000
44.4444, 3, 4000000
40, 4, 4000000
36.3636, 5, 4000000
40, 6, 4000000
36.3636, 7, 4000000
36.3636, 8, 4000000
40, 9, 4000000
33.3333, 10, 4000000
44.4444, 11, 4000000
33.3333, 12, 4000000
22.2222, 13, 4000000
40, 14, 4000000
25, 15, 4000000
40, 16, 4000000
42, 1, 4200000
46.6667, 2, 4200000
38.1818, 3, 4200000
42, 4, 4200000
42, 5, 4200000
42, 6, 4200000
38.1818, 7, 4200000
38.1818, 8, 4200000
42, 9, 4200000
38.1818, 10, 4200000
35, 11, 4200000
42, 12, 4200000
42, 13, 4200000
42, 14, 4200000
21, 15, 4200000
23.3333, 16, 4200000
55, 1, 4400000
44, 2, 4400000
44, 3, 4400000
44, 4, 4400000
40, 5, 4400000
44, 6, 4400000
40, 7, 4400000
36.6667, 8, 4400000
40, 9, 4400000
36.6667, 10, 4400000
31.4286, 11, 4400000
31.4286, 12, 4400000
33.8462, 13, 4400000
36.6667, 14, 4400000
36.6667, 15, 4400000
23.1579, 16, 4400000
51.1111, 1, 4600000
51.1111, 2, 4600000
46, 3, 4600000
38.3333, 4, 4600000
46, 5, 4600000
41.8182, 6, 4600000
38.3333, 7, 4600000
41.8182, 8, 4600000
38.3333, 9, 4600000
46, 10, 4600000
24.2105, 11, 4600000
41.8182, 12, 4600000
21.9048, 13, 4600000
38.3333, 14, 4600000
35.3846, 15, 4600000
32.8571, 16, 4600000
60, 1, 4800000
43.6364, 2, 4800000
48, 3, 4800000
40, 4, 4800000
40, 5, 4800000
43.6364, 6, 4800000
40, 7, 4800000
40, 8, 4800000
40, 9, 4800000
40, 10, 4800000
40, 11, 4800000
36.9231, 12, 4800000
34.2857, 13, 4800000
40, 14, 4800000
40, 15, 4800000
40, 16, 4800000
55.5556, 1, 5000000
45.4545, 2, 5000000
45.4545, 3, 5000000
45.4545, 4, 5000000
41.6667, 5, 5000000
41.6667, 6, 5000000
41.6667, 7, 5000000
38.4615, 8, 5000000
38.4615, 9, 5000000
38.4615, 10, 5000000
26.3158, 11, 5000000
35.7143, 12, 5000000
22.7273, 13, 5000000
41.6667, 14, 5000000
29.4118, 15, 5000000
38.4615, 16, 5000000
52, 1, 5200000
47.2727, 2, 5200000
43.3333, 3, 5200000
40, 4, 5200000
43.3333, 5, 5200000
43.3333, 6, 5200000
40, 7, 5200000
43.3333, 8, 5200000
43.3333, 9, 5200000
43.3333, 10, 5200000
43.3333, 11, 5200000
37.1429, 12, 5200000
40, 13, 5200000
37.1429, 14, 5200000
37.1429, 15, 5200000
40, 16, 5200000
60, 1, 5400000
49.0909, 2, 5400000
45, 3, 5400000
41.5385, 4, 5400000
45, 5, 5400000
45, 6, 5400000
41.5385, 7, 5400000
45, 8, 5400000
45, 9, 5400000
38.5714, 10, 5400000
45, 11, 5400000
38.5714, 12, 5400000
38.5714, 13, 5400000
33.75, 14, 5400000
36, 15, 5400000
33.75, 16, 5400000
56, 1, 5600000
46.6667, 2, 5600000
46.6667, 3, 5600000
46.6667, 4, 5600000
43.0769, 5, 5600000
46.6667, 6, 5600000
43.0769, 7, 5600000
43.0769, 8, 5600000
43.0769, 9, 5600000
40, 10, 5600000
43.0769, 11, 5600000
46.6667, 12, 5600000
35, 13, 5600000
43.0769, 14, 5600000
46.6667, 15, 5600000
40, 16, 5600000
58, 1, 5800000
52.7273, 2, 5800000
44.6154, 3, 5800000
48.3333, 4, 5800000
41.4286, 5, 5800000
44.6154, 6, 5800000
41.4286, 7, 5800000
41.4286, 8, 5800000
44.6154, 9, 5800000
38.6667, 10, 5800000
41.4286, 11, 5800000
38.6667, 12, 5800000
22.3077, 13, 5800000
36.25, 14, 5800000
36.25, 15, 5800000
44.6154, 16, 5800000
50, 1, 6000000
50, 2, 6000000
50, 3, 6000000
46.1538, 4, 6000000
42.8571, 5, 6000000
42.8571, 6, 6000000
42.8571, 7, 6000000
42.8571, 8, 6000000
42.8571, 9, 6000000
42.8571, 10, 6000000
40, 11, 6000000
40, 12, 6000000
42.8571, 13, 6000000
42.8571, 14, 6000000
40, 15, 6000000
23.0769, 16, 6000000
62, 1, 6200000
51.6667, 2, 6200000
44.2857, 3, 6200000
44.2857, 4, 6200000
44.2857, 5, 6200000
44.2857, 6, 6200000
44.2857, 7, 6200000
41.3333, 8, 6200000
44.2857, 9, 6200000
41.3333, 10, 6200000
41.3333, 11, 6200000
41.3333, 12, 6200000
36.4706, 13, 6200000
38.75, 14, 6200000
36.4706, 15, 6200000
38.75, 16, 6200000
58.1818, 1, 6400000
49.2308, 2, 6400000
49.2308, 3, 6400000
45.7143, 4, 6400000
45.7143, 5, 6400000
45.7143, 6, 6400000
42.6667, 7, 6400000
40, 8, 6400000
40, 9, 6400000
40, 10, 6400000
45.7143, 11, 6400000
42.6667, 12, 6400000
21.3333, 13, 6400000
33.6842, 14, 6400000
42.6667, 15, 6400000
37.6471, 16, 6400000
60, 1, 6600000
47.1429, 2, 6600000
50.7692, 3, 6600000
47.1429, 4, 6600000
47.1429, 5, 6600000
41.25, 6, 6600000
41.25, 7, 6600000
41.25, 8, 6600000
41.25, 9, 6600000
41.25, 10, 6600000
41.25, 11, 6600000
41.25, 12, 6600000
33, 13, 6600000
38.8235, 14, 6600000
22.7586, 15, 6600000
20, 16, 6600000
48.5714, 1, 6800000
52.3077, 2, 6800000
48.5714, 3, 6800000
48.5714, 4, 6800000
42.5, 5, 6800000
48.5714, 6, 6800000
40, 7, 6800000
40, 8, 6800000
42.5, 9, 6800000
40, 10, 6800000
42.5, 11, 6800000
37.7778, 12, 6800000
40, 13, 6800000
42.5, 14, 6800000
40, 15, 6800000
25.1852, 16, 6800000
58.3333, 1, 7000000
53.8462, 2, 7000000
50, 3, 7000000
38.8889, 4, 7000000
41.1765, 5, 7000000
