mfc/s,num_threads,vector_size
5, 1, 200000
4, 2, 200000
2.85714, 3, 200000
2.5, 4, 200000
2.22222, 5, 200000
2.5, 6, 200000
2, 7, 200000
2, 8, 200000
1.66667, 9, 200000
1.53846, 10, 200000
0.769231, 11, 200000
1.53846, 12, 200000
1.33333, 13, 200000
1.42857, 14, 200000
1.17647, 15, 200000
0.952381, 16, 200000
6.66667, 1, 400000
6.66667, 2, 400000
5.71429, 3, 400000
5, 4, 400000
4.44444, 5, 400000
4.44444, 6, 400000
4, 7, 400000
3.63636, 8, 400000
3.63636, 9, 400000
3.07692, 10, 400000
3.07692, 11, 400000
1.48148, 12, 400000
2.66667, 13, 400000
2.5, 14, 400000
2.22222, 15, 400000
1.6, 16, 400000
12, 1, 600000
8.57143, 2, 600000
7.5, 3, 600000
7.5, 4, 600000
6, 5, 600000
6, 6, 600000
6.66667, 7, 600000
5.45455, 8, 600000
4.61538, 9, 600000
4.61538, 10, 600000
4, 11, 600000
4, 12, 600000
3.33333, 13, 600000
1.875, 14, 600000
3.15789, 15, 600000
3.52941, 16, 600000
16, 1, 800000
13.3333, 2, 800000
11.4286, 3, 800000
8.88889, 4, 800000
8.88889, 5, 800000
8.88889, 6, 800000
6.15385, 7, 800000
6.66667, 8, 800000
3.80952, 9, 800000
6.66667, 10, 800000
5.33333, 11, 800000
5, 12, 800000
4.70588, 13, 800000
5, 14, 800000
4, 15, 800000
2.96296, 16, 800000
16.6667, 1, 1000000
16.6667, 2, 1000000
12.5, 3, 1000000
11.1111, 4, 1000000
9.09091, 5, 1000000
10, 6, 1000000
10, 7, 1000000
8.33333, 8, 1000000
7.69231, 9, 1000000
6.66667, 10, 1000000
4.7619, 11, 1000000
4.54545, 12, 1000000
4.7619, 13, 1000000
3.44828, 14, 1000000
3.44828, 15, 1000000
5.26316, 16, 1000000
17.1429, 1, 1200000
13.3333, 2, 1200000
15, 3, 1200000
13.3333, 4, 1200000
10.9091, 5, 1200000
10, 6, 1200000
12, 7, 1200000
9.23077, 8, 1200000
9.23077, 9, 1200000
6, 10, 1200000
8, 11, 1200000
4, 12, 1200000
6.66667, 13, 1200000
6.66667, 14, 1200000
6.66667, 15, 1200000
3.07692, 16, 1200000
17.5, 1, 1400000
20, 2, 1400000
17.5, 3, 1400000
14, 4, 1400000
14, 5, 1400000
12.7273, 6, 1400000
12.7273, 7, 1400000
11.6667, 8, 1400000
12.7273, 9, 1400000
8.75, 10, 1400000
8.23529, 11, 1400000
8.75, 12, 1400000
8.23529, 13, 1400000
7.77778, 14, 1400000
6.08696, 15, 1400000
1.4433, 16, 1400000
20, 1, 1600000
20, 2, 1600000
16, 3, 1600000
16, 4, 1600000
16, 5, 1600000
16, 6, 1600000
12.3077, 7, 1600000
14.5455, 8, 1600000
11.4286, 9, 1600000
10.6667, 10, 1600000
10, 11, 1600000
8.88889, 12, 1600000
9.41177, 13, 1600000
8.88889, 14, 1600000
4.70588, 15, 1600000
3.72093, 16, 1600000
22.5, 1, 1800000
22.5, 2, 1800000
18, 3, 1800000
16.3636, 4, 1800000
16.3636, 5, 1800000
15, 6, 1800000
13.8462, 7, 1800000
15, 8, 1800000
12, 9, 1800000
12, 10, 1800000
11.25, 11, 1800000
10, 12, 1800000
7.82609, 13, 1800000
10, 14, 1800000
4.73684, 15, 1800000
9, 16, 1800000
25, 1, 2000000
22.2222, 2, 2000000
20, 3, 2000000
20, 4, 2000000
16.6667, 5, 2000000
18.1818, 6, 2000000
16.6667, 7, 2000000
14.2857, 8, 2000000
11.7647, 9, 2000000
10, 10, 2000000
11.7647, 11, 2000000
6.89655, 12, 2000000
10.5263, 13, 2000000
10.5263, 14, 2000000
7.69231, 15, 2000000
5.26316, 16, 2000000
24.4444, 1, 2200000
22, 2, 2200000
22, 3, 2200000
22, 4, 2200000
18.3333, 5, 2200000
20, 6, 2200000
16.9231, 7, 2200000
16.9231, 8, 2200000
13.75, 9, 2200000
12.9412, 10, 2200000
11.5789, 11, 2200000
12.9412, 12, 2200000
6.66667, 13, 2200000
9.56522, 14, 2200000
8.14815, 15, 2200000
9.56522, 16, 2200000
26.6667, 1, 2400000
26.6667, 2, 2400000
21.8182, 3, 2400000
20, 4, 2400000
18.4615, 5, 2400000
20, 6, 2400000
17.1429, 7, 2400000
17.1429, 8, 2400000
14.1176, 9, 2400000
15, 10, 2400000
12.6316, 11, 2400000
13.3333, 12, 2400000
12.6316, 13, 2400000
10, 14, 2400000
6.48649, 15, 2400000
4.21053, 16, 2400000
32.5, 1, 2600000
23.6364, 2, 2600000
23.6364, 3, 2600000
23.6364, 4, 2600000
21.6667, 5, 2600000
18.5714, 6, 2600000
18.5714, 7, 2600000
18.5714, 8, 2600000
12.381, 9, 2600000
14.4444, 10, 2600000
13.6842, 11, 2600000
12.381, 12, 2600000
13.6842, 13, 2600000
13.6842, 14, 2600000
8.96552, 15, 2600000
10.8333, 16, 2600000
31.1111, 1, 2800000
28, 2, 2800000
23.3333, 3, 2800000
25.4545, 4, 2800000
20, 5, 2800000
20, 6, 2800000
18.6667, 7, 2800000
18.6667, 8, 2800000
15.5556, 9, 2800000
15.5556, 10, 2800000
11.2, 11, 2800000
15.5556, 12, 2800000
10.7692, 13, 2800000
12.7273, 14, 2800000
6.51163, 15, 2800000
7.77778, 16, 2800000
27.2727, 1, 3000000
25, 2, 3000000
25, 3, 3000000
