mfc/s,num_threads,vector_size
4, 1, 200000
3.33333, 2, 200000
3.33333, 3, 200000
2.85714, 4, 200000
2.5, 5, 200000
2.22222, 6, 200000
2, 7, 200000
1.81818, 8, 200000
1.66667, 9, 200000
1.53846, 10, 200000
1.42857, 11, 200000
1.11111, 12, 200000
1.25, 13, 200000
0.606061, 14, 200000
1.11111, 15, 200000
1.17647, 16, 200000
8, 1, 400000
8, 2, 400000
5.71429, 3, 400000
4.44444, 4, 400000
4.44444, 5, 400000
4, 6, 400000
4.44444, 7, 400000
3.33333, 8, 400000
3.33333, 9, 400000
2.85714, 10, 400000
2.85714, 11, 400000
2.85714, 12, 400000
2.66667, 13, 400000
2.22222, 14, 400000
1.48148, 15, 400000
2, 16, 400000
10, 1, 600000
8.57143, 2, 600000
8.57143, 3, 600000
7.5, 4, 600000
6, 5, 600000
5.45455, 6, 600000
6, 7, 600000
5.45455, 8, 600000
4.61538, 9, 600000
4.61538, 10, 600000
4.61538, 11, 600000
3.33333, 12, 600000
3.33333, 13, 600000
2.85714, 14, 600000
1.93548, 15, 600000
3.75, 16, 600000
13.3333, 1, 800000
13.3333, 2, 800000
8.88889, 3, 800000
10, 4, 800000
7.27273, 5, 800000
8.88889, 6, 800000
8, 7, 800000
7.27273, 8, 800000
6.15385, 9, 800000
5.71429, 10, 800000
4.70588, 11, 800000
5.33333, 12, 800000
5, 13, 800000
5, 14, 800000
3.80952, 15, 800000
3.63636, 16, 800000
14.2857, 1, 1000000
12.5, 2, 1000000
11.1111, 3, 1000000
12.5, 4, 1000000
11.1111, 5, 1000000
10, 6, 1000000
9.09091, 7, 1000000
7.69231, 8, 1000000
7.69231, 9, 1000000
7.14286, 10, 1000000
6.66667, 11, 1000000
6.66667, 12, 1000000
5.88235, 13, 1000000
3.125, 14, 1000000
5, 15, 1000000
2.7027, 16, 1000000
17.1429, 1, 1200000
17.1429, 2, 1200000
13.3333, 3, 1200000
13.3333, 4, 1200000
12, 5, 1200000
10.9091, 6, 1200000
10.9091, 7, 1200000
9.23077, 8, 1200000
8.57143, 9, 1200000
8, 10, 1200000
7.5, 11, 1200000
6.31579, 12, 1200000
6.66667, 13, 1200000
2.55319, 14, 1200000
3.75, 15, 1200000
3.75, 16, 1200000
20, 1, 1400000
17.5, 2, 1400000
15.5556, 3, 1400000
15.5556, 4, 1400000
14, 5, 1400000
14, 6, 1400000
11.6667, 7, 1400000
10, 8, 1400000
9.33333, 9, 1400000
9.33333, 10, 1400000
9.33333, 11, 1400000
8.23529, 12, 1400000
6.66667, 13, 1400000
7.36842, 14, 1400000
7.77778, 15, 1400000
8.23529, 16, 1400000
22.8571, 1, 1600000
20, 2, 1600000
17.7778, 3, 1600000
16, 4, 1600000
14.5455, 5, 1600000
16, 6, 1600000
14.5455, 7, 1600000
12.3077, 8, 1600000
10.6667, 9, 1600000
10, 10, 1600000
8.88889, 11, 1600000
10, 12, 1600000
8.88889, 13, 1600000
8, 14, 1600000
8.88889, 15, 1600000
6.4, 16, 1600000
25.7143, 1, 1800000
20, 2, 1800000
16.3636, 3, 1800000
18, 4, 1800000
15, 5, 1800000
16.3636, 6, 1800000
20, 7, 1800000
12.8571, 8, 1800000
12, 9, 1800000
11.25, 10, 1800000
10.5882, 11, 1800000
9.47368, 12, 1800000
9.47368, 13, 1800000
10, 14, 1800000
8.57143, 15, 1800000
7.5, 16, 1800000
25, 1, 2000000
22.2222, 2, 2000000
20, 3, 2000000
16.6667, 4, 2000000
20, 5, 2000000
15.3846, 6, 2000000
14.2857, 7, 2000000
14.2857, 8, 2000000
12.5, 9, 2000000
12.5, 10, 2000000
11.7647, 11, 2000000
6.45161, 12, 2000000
13.3333, 13, 2000000
10, 14, 2000000
8.69565, 15, 2000000
5.26316, 16, 2000000
24.4444, 1, 2200000
22, 2, 2200000
22, 3, 2200000
22, 4, 2200000
22, 5, 2200000
18.3333, 6, 2200000
15.7143, 7, 2200000
