num_threads,vector_size,mfc/s
1, 1000000 ,37.9896,"
2, 1000000 ,67.44,"
3, 1000000 ,88.6132,"
4, 1000000 ,102.68,"
5, 1000000 ,116.523,"
6, 1000000 ,132.468,"
7, 1000000 ,139.218,"
8, 1000000 ,144.676,"
9, 1000000 ,149.187,"
10, 1000000 ,154.154,"
11, 1000000 ,161.551,"
12, 1000000 ,98.3768,"
13, 1000000 ,113.084,"
14, 1000000 ,147.427,"
15, 1000000 ,159.617,"
16, 1000000 ,71.9269,"
1, 2000000 ,43.3097,"
2, 2000000 ,76.9468,"
3, 2000000 ,108.079,"
4, 2000000 ,130.822,"
5, 2000000 ,146.103,"
6, 2000000 ,177.258,"
7, 2000000 ,191.81,"
8, 2000000 ,209.271,"
9, 2000000 ,199.501,"
10, 2000000 ,228.728,"
11, 2000000 ,237.445,"
12, 2000000 ,229.727,"
13, 2000000 ,238.379,"
14, 2000000 ,250.188,"
15, 2000000 ,262.674,"
16, 2000000 ,197.746,"
1, 3000000 ,47.1276,"
2, 3000000 ,86.0832,"
3, 3000000 ,123.462,"
4, 3000000 ,140.667,"
5, 3000000 ,175.634,"
6, 3000000 ,196.67,"
7, 3000000 ,216.325,"
8, 3000000 ,221.615,"
9, 3000000 ,208.088,"
10, 3000000 ,265.041,"
11, 3000000 ,285.605,"
12, 3000000 ,289.38,"
13, 3000000 ,300.18,"
14, 3000000 ,296.707,"
15, 3000000 ,305.561,"
16, 3000000 ,181.28,"
1, 4000000 ,50.226,"
2, 4000000 ,90.1612,"
3, 4000000 ,122.145,"
4, 4000000 ,154.583,"
5, 4000000 ,184.077,"
6, 4000000 ,213.311,"
7, 4000000 ,236.183,"
8, 4000000 ,255.722,"
9, 4000000 ,270.581,"
10, 4000000 ,293.277,"
11, 4000000 ,273.654,"
12, 4000000 ,324.202,"
13, 4000000 ,311.09,"
14, 4000000 ,349.559,"
15, 4000000 ,262.14,"
16, 4000000 ,372.96,"
1, 5000000 ,55.5253,"
2, 5000000 ,94.0539,"
3, 5000000 ,128.307,"
4, 5000000 ,161.87,"
5, 5000000 ,194.092,"
6, 5000000 ,222.46,"
7, 5000000 ,249.85,"
8, 5000000 ,264.299,"
9, 5000000 ,290.309,"
10, 5000000 ,316.196,"
11, 5000000 ,315.776,"
12, 5000000 ,220.926,"
13, 5000000 ,380.518,"
14, 5000000 ,190.338,"
15, 5000000 ,287.869,"
16, 5000000 ,261.301,"
1, 6000000 ,55.3189,"
2, 6000000 ,97.4184,"
3, 6000000 ,132.714,"
4, 6000000 ,168.653,"
5, 6000000 ,198.406,"
6, 6000000 ,232.54,"
7, 6000000 ,256.224,"
8, 6000000 ,285.959,"
9, 6000000 ,295.247,"
10, 6000000 ,327.654,"
11, 6000000 ,212.698,"
12, 6000000 ,364.1,"
13, 6000000 ,382.604,"
14, 6000000 ,246.548,"
15, 6000000 ,425.14,"
16, 6000000 ,271.346,"
1, 7000000 ,58.0956,"
2, 7000000 ,97.8761,"
3, 7000000 ,136.82,"
4, 7000000 ,170.728,"
5, 7000000 ,206.289,"
6, 7000000 ,237.32,"
7, 7000000 ,265.514,"
8, 7000000 ,292.495,"
9, 7000000 ,313.283,"
10, 7000000 ,340.169,"
11, 7000000 ,370.94,"
12, 7000000 ,366.646,"
13, 7000000 ,409.932,"
14, 7000000 ,265.534,"
15, 7000000 ,258.77,"
16, 7000000 ,409.285,"
1, 8000000 ,59.8959,"
2, 8000000 ,100.648,"
3, 8000000 ,140.257,"
4, 8000000 ,171.799,"
5, 8000000 ,198.852,"
6, 8000000 ,240.507,"
7, 8000000 ,254.493,"
8, 8000000 ,315.333,"
9, 8000000 ,266.383,"
10, 8000000 ,352.082,"
11, 8000000 ,382.592,"
12, 8000000 ,412.392,"
13, 8000000 ,383.307,"
14, 8000000 ,404.102,"
15, 8000000 ,288.569,"
16, 8000000 ,477.583,"
1, 9000000 ,62.8031,"
2, 9000000 ,95.8273,"
3, 9000000 ,144.078,"
4, 9000000 ,178.99,"
5, 9000000 ,213.003,"
6, 9000000 ,246.596,"
7, 9000000 ,279.217,"
8, 9000000 ,311.3,"
9, 9000000 ,336.713,"
10, 9000000 ,360.721,"
11, 9000000 ,362.436,"
12, 9000000 ,409.184,"
13, 9000000 ,432.277,"
14, 9000000 ,443.612,"
15, 9000000 ,331.577,"
16, 9000000 ,370.142,"
1, 10000000 ,63.6598,"
2, 10000000 ,106.477,"
3, 10000000 ,147.115,"
4, 10000000 ,163.674,"
5, 10000000 ,218.364,"
6, 10000000 ,249.913,"
7, 10000000 ,241.663,"
8, 10000000 ,313.568,"
9, 10000000 ,345.423,"
10, 10000000 ,369.017,"
11, 10000000 ,373.552,"
12, 10000000 ,398.708,"
13, 10000000 ,410.425,"
14, 10000000 ,487.496,"
15, 10000000 ,255.317,"
16, 10000000 ,499.9,"
