num_threads,vector_size,mfc/s
1, 1000000 ,38.4719,"
2, 1000000 ,67.3809,"
3, 1000000 ,86.6326,"
4, 1000000 ,107.4,"
5, 1000000 ,121.803,"
6, 1000000 ,129.032,"
7, 1000000 ,136.93,"
8, 1000000 ,135.099,"
9, 1000000 ,144.53,"
10, 1000000 ,114.064,"
11, 1000000 ,76.4994,"
12, 1000000 ,118.708,"
13, 1000000 ,160.823,"
14, 1000000 ,76.9468,"
15, 1000000 ,161.838,"
16, 1000000 ,153.516,"
1, 2000000 ,43.6462,"
2, 2000000 ,79.9488,"
3, 2000000 ,108.307,"
4, 2000000 ,131.787,"
5, 2000000 ,160.539,"
6, 2000000 ,169.205,"
7, 2000000 ,192.271,"
8, 2000000 ,209.512,"
9, 2000000 ,214.869,"
10, 2000000 ,229.727,"
11, 2000000 ,98.6485,"
12, 2000000 ,242.248,"
13, 2000000 ,233.781,"
14, 2000000 ,249.532,"
15, 2000000 ,184.281,"
16, 2000000 ,192.234,"
1, 3000000 ,46.9403,"
2, 3000000 ,85.3728,"
3, 3000000 ,110.738,"
4, 3000000 ,142.586,"
5, 3000000 ,173.03,"
6, 3000000 ,195.02,"
7, 3000000 ,212.811,"
8, 3000000 ,218.914,"
9, 3000000 ,230.539,"
10, 3000000 ,261.734,"
11, 3000000 ,279.955,"
12, 3000000 ,301.841,"
13, 3000000 ,269.566,"
14, 3000000 ,313.12,"
15, 3000000 ,291.687,"
16, 3000000 ,219.78,"
1, 4000000 ,50.4051,"
2, 4000000 ,88.5602,"
3, 4000000 ,120.769,"
4, 4000000 ,154.143,"
5, 4000000 ,181.389,"
6, 4000000 ,208.442,"
7, 4000000 ,234.069,"
8, 4000000 ,257.483,"
9, 4000000 ,274.348,"
10, 4000000 ,274.763,"
11, 4000000 ,295.356,"
12, 4000000 ,325.388,"
13, 4000000 ,341.18,"
14, 4000000 ,354.484,"
15, 4000000 ,320.616,"
16, 4000000 ,370.679,"
1, 5000000 ,53.6982,"
2, 5000000 ,95.8938,"
3, 5000000 ,123.42,"
4, 5000000 ,161.54,"
5, 5000000 ,191.549,"
6, 5000000 ,219.722,"
7, 5000000 ,247.378,"
8, 5000000 ,246.293,"
9, 5000000 ,300.409,"
10, 5000000 ,313.972,"
11, 5000000 ,327.89,"
12, 5000000 ,357.219,"
13, 5000000 ,369.249,"
14, 5000000 ,322.227,"
15, 5000000 ,386.279,"
16, 5000000 ,261.876,"
1, 6000000 ,52.4976,"
2, 6000000 ,97.8011,"
3, 6000000 ,130.69,"
4, 6000000 ,167.005,"
5, 6000000 ,197.407,"
6, 6000000 ,228.781,"
7, 6000000 ,260.904,"
8, 6000000 ,284.9,"
9, 6000000 ,294.291,"
10, 6000000 ,326.619,"
11, 6000000 ,356.041,"
12, 6000000 ,367.287,"
13, 6000000 ,341.647,"
14, 6000000 ,386.847,"
15, 6000000 ,428.878,"
16, 6000000 ,271.862,"
1, 7000000 ,57.9341,"
2, 7000000 ,101.861,"
3, 7000000 ,136.105,"
4, 7000000 ,172.422,"
5, 7000000 ,204.714,"
6, 7000000 ,231.98,"
7, 7000000 ,266.982,"
8, 7000000 ,297.379,"
9, 7000000 ,313.733,"
10, 7000000 ,306.426,"
11, 7000000 ,352.077,"
12, 7000000 ,385.611,"
13, 7000000 ,399.977,"
14, 7000000 ,271.423,"
15, 7000000 ,439.037,"
16, 7000000 ,320.205,"
1, 8000000 ,59.6752,"
2, 8000000 ,104.007,"
3, 8000000 ,139.98,"
4, 8000000 ,177.403,"
5, 8000000 ,194.937,"
6, 8000000 ,239.772,"
7, 8000000 ,275.463,"
8, 8000000 ,299.783,"
9, 8000000 ,332.959,"
10, 8000000 ,350.831,"
11, 8000000 ,341.749,"
12, 8000000 ,261.199,"
13, 8000000 ,427.328,"
14, 8000000 ,437.948,"
15, 8000000 ,342.334,"
16, 8000000 ,275.378,"
1, 9000000 ,65.5671,"
2, 9000000 ,106.45,"
3, 9000000 ,143.529,"
4, 9000000 ,180.919,"
5, 9000000 ,215.404,"
6, 9000000 ,226.278,"
7, 9000000 ,278.784,"
8, 9000000 ,310.067,"
9, 9000000 ,324.699,"
10, 9000000 ,367.993,"
11, 9000000 ,394.08,"
12, 9000000 ,418.683,"
13, 9000000 ,437.807,"
14, 9000000 ,474.158,"
15, 9000000 ,452.034,"
16, 9000000 ,301.235,"
1, 10000000 ,64.2339,"
2, 10000000 ,103.197,"
3, 10000000 ,137.061,"
4, 10000000 ,155.429,"
5, 10000000 ,196.036,"
6, 10000000 ,245.02,"
7, 10000000 ,284.787,"
8, 10000000 ,314.961,"
9, 10000000 ,315.199,"
10, 10000000 ,331.236,"
11, 10000000 ,399.249,"
12, 10000000 ,341.67,"
13, 10000000 ,407.332,"
14, 10000000 ,429.646,"
15, 10000000 ,329.674,"
16, 10000000 ,334.997,"
