mfc/s,num_threads,vector_size
3.83892, 1, 200000
4.14044, 2, 200000
4.18568, 3, 200000
4.20292, 4, 200000
4.16701, 5, 200000
4.248, 6, 200000
4.1278, 7, 200000
4.22172, 8, 200000
4.21914, 9, 200000
4.18428, 10, 200000
3.29853, 11, 200000
3.41367, 12, 200000
3.91091, 13, 200000
4.23298, 14, 200000
4.06281, 15, 200000
3.96629, 16, 200000
7.4631, 1, 400000
7.84498, 2, 400000
8.27267, 3, 400000
8.18096, 4, 400000
8.02826, 5, 400000
8.45183, 6, 400000
8.27386, 7, 400000
8.52915, 8, 400000
8.30582, 9, 400000
8.64286, 10, 400000
7.16461, 11, 400000
8.33524, 12, 400000
8.20361, 13, 400000
7.22295, 14, 400000
8.25014, 15, 400000
6.82734, 16, 400000
10.3983, 1, 600000
11.2634, 2, 600000
11.9909, 3, 600000
11.6611, 4, 600000
12.0768, 5, 600000
12.5897, 6, 600000
12.1917, 7, 600000
11.9727, 8, 600000
12.9135, 9, 600000
12.2008, 10, 600000
13.1294, 11, 600000
11.2911, 12, 600000
10.5145, 13, 600000
12.9135, 14, 600000
12.6995, 15, 600000
11.8357, 16, 600000
13.1822, 1, 800000
14.3202, 2, 800000
15.3201, 3, 800000
15.1432, 4, 800000
15.3336, 5, 800000
17.5739, 6, 800000
16.5064, 7, 800000
16.4099, 8, 800000
17.1655, 9, 800000
16.5508, 10, 800000
17.0525, 11, 800000
15.3474, 12, 800000
17.1795, 13, 800000
16.8315, 14, 800000
16.5731, 15, 800000
14.1668, 16, 800000
15.2539, 1, 1000000
17.2909, 2, 1000000
18.6654, 3, 1000000
19.445, 4, 1000000
19.4951, 5, 1000000
20.3853, 6, 1000000
19.8795, 7, 1000000
20.3277, 8, 1000000
19.2404, 9, 1000000
20.3533, 10, 1000000
20.725, 11, 1000000
21.1864, 12, 1000000
21.5657, 13, 1000000
20.2257, 14, 1000000
20.9139, 15, 1000000
20.2118, 16, 1000000
17.6543, 1, 1200000
20.542, 2, 1200000
21.9555, 3, 1200000
22.0038, 4, 1200000
23.015, 5, 1200000
24.5695, 6, 1200000
24.1877, 7, 1200000
24.1095, 8, 1200000
24.4444, 9, 1200000
24.2331, 10, 1200000
23.0348, 11, 1200000
25.1372, 12, 1200000
23.4453, 13, 1200000
25.3202, 14, 1200000
24.9185, 15, 1200000
24.627, 16, 1200000
19.5334, 1, 1400000
23.0639, 2, 1400000
24.5012, 3, 1400000
26.477, 4, 1400000
26.0373, 5, 1400000
25.443, 6, 1400000
27.3635, 7, 1400000
28.7339, 8, 1400000
26.3807, 9, 1400000
28.9262, 10, 1400000
28.1006, 11, 1400000
29.2471, 12, 1400000
28.0595, 13, 1400000
29.2881, 14, 1400000
28.3584, 15, 1400000
28.4351, 16, 1400000
22.2723, 1, 1600000
25.9441, 2, 1600000
27.0238, 3, 1600000
28.3006, 4, 1600000
29.9496, 5, 1600000
31.5594, 6, 1600000
31.9094, 7, 1600000
28.0357, 8, 1600000
31.5128, 9, 1600000
32.5369, 10, 1600000
32.5435, 11, 1600000
33.0914, 12, 1600000
30.4258, 13, 1600000
30.8392, 14, 1600000
32.9347, 15, 1600000
25.8724, 16, 1600000
23.3803, 1, 1800000
28.2859, 2, 1800000
