num_threads,vector_size,mfc/s
1, 1000000 ,38.6623," "
2, 1000000 ,66.9792," "
3, 1000000 ,89.67," "
4, 1000000 ,106.61," "
5, 1000000 ,118.92," "
6, 1000000 ,129.066," "
7, 1000000 ,144.238," "
8, 1000000 ,140.135," "
9, 1000000 ,118.05," "
10, 1000000 ,140.568," "
11, 1000000 ,137.571," "
12, 1000000 ,150.353," "
13, 1000000 ,142.613," "
14, 1000000 ,155.255," "
15, 1000000 ,150.716," "
16, 1000000 ,73.8552," "
1, 2000000 ,44.9267," "
2, 2000000 ,77.7424," "
3, 2000000 ,108.897," "
4, 2000000 ,133.422," "
5, 2000000 ,157.146," "
6, 2000000 ,163.733," "
7, 2000000 ,184.689," "
8, 2000000 ,189.952," "
9, 2000000 ,201.654," "
10, 2000000 ,211.864," "
11, 2000000 ,217.108," "
12, 2000000 ,239.292," "
13, 2000000 ,225.149," "
14, 2000000 ,245.881," "
15, 2000000 ,213.424," "
16, 2000000 ,65.8436," "
1, 3000000 ,49.1731," "
2, 3000000 ,83.827," "
3, 3000000 ,115.75," "
4, 3000000 ,146.965," "
5, 3000000 ,173.722," "
6, 3000000 ,196.464," "
7, 3000000 ,219.651," "
8, 3000000 ,237.023," "
9, 3000000 ,258.109," "
10, 3000000 ,257.158," "
11, 3000000 ,281.717," "
12, 3000000 ,274.826," "
13, 3000000 ,305.25," "
14, 3000000 ,198.557," "
15, 3000000 ,302.45," "
16, 3000000 ,335.383," "
1, 4000000 ,50.4312," "
2, 4000000 ,87.858," "
3, 4000000 ,122.922," "
4, 4000000 ,142.496," "
5, 4000000 ,184.732," "
6, 4000000 ,209.183," "
7, 4000000 ,235.877," "
8, 4000000 ,261.575," "
9, 4000000 ,273.075," "
10, 4000000 ,290.824," "
11, 4000000 ,279.857," "
12, 4000000 ,325.68," "
13, 4000000 ,335.065," "
14, 4000000 ,336.644," "
15, 4000000 ,287.708," "
16, 4000000 ,223.851," "
1, 5000000 ,53.5383," "
2, 5000000 ,93.4824," "
3, 5000000 ,131.853," "
4, 5000000 ,163.693," "
5, 5000000 ,192.924," "
6, 5000000 ,200.586," "
7, 5000000 ,247.464," "
8, 5000000 ,275.74," "
9, 5000000 ,286.385," "
10, 5000000 ,303.38," "
11, 5000000 ,319.693," "
12, 5000000 ,331.148," "
13, 5000000 ,353.132," "
14, 5000000 ,289.084," "
15, 5000000 ,185.667," "
16, 5000000 ,248.595," "
1, 6000000 ,55.3695," "
2, 6000000 ,94.8692," "
3, 6000000 ,132.103," "
4, 6000000 ,166.885," "
5, 6000000 ,199.137," "
6, 6000000 ,228.659," "
7, 6000000 ,262.329," "
8, 6000000 ,289.198," "
9, 6000000 ,303.521," "
10, 6000000 ,327.582," "
11, 6000000 ,357.292," "
12, 6000000 ,368.754," "
13, 6000000 ,359.389," "
14, 6000000 ,359.604," "
15, 6000000 ,385.208," "
16, 6000000 ,388.274," "
1, 7000000 ,57.3648," "
2, 7000000 ,98.9595," "
3, 7000000 ,136.474," "
4, 7000000 ,173.766," "
5, 7000000 ,201.439," "
6, 7000000 ,235.921," "
7, 7000000 ,267.125," "
8, 7000000 ,296.033," "
9, 7000000 ,317.201," "
10, 7000000 ,332.037," "
11, 7000000 ,361.664," "
12, 7000000 ,397.186," "
13, 7000000 ,364.621," "
14, 7000000 ,400," "
15, 7000000 ,452.109," "
16, 7000000 ,458.505," "
1, 8000000 ,56.6584," "
2, 8000000 ,101.989," "
3, 8000000 ,140.277," "
4, 8000000 ,170.984," "
5, 8000000 ,208.97," "
6, 8000000 ,239.614," "
7, 8000000 ,265.869," "
8, 8000000 ,299.918," "
9, 8000000 ,329.421," "
10, 8000000 ,313.087," "
11, 8000000 ,361.272," "
12, 8000000 ,398.208," "
13, 8000000 ,416.862," "
14, 8000000 ,412.392," "
15, 8000000 ,436.276," "
16, 8000000 ,348.311," "
1, 9000000 ,61.885," "
2, 9000000 ,103.452," "
3, 9000000 ,142.69," "
4, 9000000 ,179.838," "
5, 9000000 ,217.775," "
6, 9000000 ,246.137," "
7, 9000000 ,278.19," "
8, 9000000 ,313.414," "
9, 9000000 ,341.323," "
10, 9000000 ,357.682," "
11, 9000000 ,384.303," "
12, 9000000 ,407.96," "
13, 9000000 ,404.331," "
14, 9000000 ,383.943," "
15, 9000000 ,467.824," "
16, 9000000 ,461.113," "
1, 10000000 ,60.9953," "
2, 10000000 ,106.91," "
3, 10000000 ,145.628," "
4, 10000000 ,182.442," "
5, 10000000 ,219.94," "
6, 10000000 ,244.272," "
7, 10000000 ,286.148," "
8, 10000000 ,319.949," "
9, 10000000 ,346.488," "
10, 10000000 ,369.877," "
11, 10000000 ,394.976," "
12, 10000000 ,423.46," "
13, 10000000 ,438.27," "
14, 10000000 ,459.812," "
15, 10000000 ,499.376," "
16, 10000000 ,323.887," "
