num_threads,vector_size,mfc/s
1, 1000000 ,38.1098," "
2, 1000000 ,67.3219," "
3, 1000000 ,89.3815," "
4, 1000000 ,105.119," "
5, 1000000 ,120.149," "
6, 1000000 ,133.458," "
7, 1000000 ,130.89," "
8, 1000000 ,145.964," "
9, 1000000 ,148.148," "
10, 1000000 ,150.602," "
11, 1000000 ,132.293," "
12, 1000000 ,156.642," "
13, 1000000 ,146.649," "
14, 1000000 ,161.655," "
15, 1000000 ,126.711," "
16, 1000000 ,126.231," "
1, 2000000 ,45.0126," "
2, 2000000 ,77.4114," "
3, 2000000 ,108.525," "
4, 2000000 ,126.056," "
5, 2000000 ,155.376," "
6, 2000000 ,163.961," "
7, 2000000 ,193.106," "
8, 2000000 ,209.556," "
9, 2000000 ,210.172," "
10, 2000000 ,218.651," "
11, 2000000 ,231.08," "
12, 2000000 ,125.778," "
13, 2000000 ,244.858," "
14, 2000000 ,231.508," "
15, 2000000 ,217.037," "
16, 2000000 ,215.983," "
1, 3000000 ,47.3179," "
2, 3000000 ,83.7404," "
3, 3000000 ,116.986," "
4, 3000000 ,156.315," "
5, 3000000 ,175.387," "
6, 3000000 ,196.799," "
7, 3000000 ,216.232," "
8, 3000000 ,235.905," "
9, 3000000 ,252.717," "
10, 3000000 ,251.889," "
11, 3000000 ,272.628," "
12, 3000000 ,286.068," "
13, 3000000 ,288.684," "
14, 3000000 ,257.334," "
15, 3000000 ,204.096," "
16, 3000000 ,318.539," "
1, 4000000 ,50.1813," "
2, 4000000 ,81.7745," "
3, 4000000 ,128.078," "
4, 4000000 ,153.48," "
5, 4000000 ,183.891," "
6, 4000000 ,210.239," "
7, 4000000 ,235.073," "
8, 4000000 ,254.745," "
9, 4000000 ,273.149," "
10, 4000000 ,293.556," "
11, 4000000 ,296.89," "
12, 4000000 ,330.36," "
13, 4000000 ,330.224," "
14, 4000000 ,322.581," "
15, 4000000 ,348.371," "
16, 4000000 ,340.397," "
1, 5000000 ,52.9375," "
2, 5000000 ,91.5885," "
3, 5000000 ,130.846," "
4, 5000000 ,160.313," "
5, 5000000 ,194.22," "
6, 5000000 ,222.38," "
7, 5000000 ,250.689," "
8, 5000000 ,252.283," "
9, 5000000 ,288.317," "
10, 5000000 ,279.174," "
11, 5000000 ,338.112," "
12, 5000000 ,356.99," "
13, 5000000 ,358.938," "
14, 5000000 ,371.002," "
15, 5000000 ,420.415," "
16, 5000000 ,405.449," "
1, 6000000 ,55.8301," "
2, 6000000 ,95.9785," "
3, 6000000 ,131.415," "
4, 6000000 ,166.556," "
5, 6000000 ,199.588," "
6, 6000000 ,229.516," "
7, 6000000 ,261.438," "
8, 6000000 ,274.876," "
9, 6000000 ,300.18," "
10, 6000000 ,336.663," "
11, 6000000 ,346.701," "
12, 6000000 ,353.607," "
13, 6000000 ,406.669," "
14, 6000000 ,243.358," "
15, 6000000 ,407.969," "
16, 6000000 ,419.492," "
1, 7000000 ,55.6302," "
2, 7000000 ,98.7083," "
3, 7000000 ,137.201," "
4, 7000000 ,169.755," "
5, 7000000 ,203.826," "
6, 7000000 ,234.915," "
7, 7000000 ,264.77," "
8, 7000000 ,293.772," "
9, 7000000 ,315.088," "
10, 7000000 ,341.131," "
11, 7000000 ,231.428," "
12, 7000000 ,387.361," "
13, 7000000 ,245.33," "
14, 7000000 ,426.985," "
15, 7000000 ,407.095," "
16, 7000000 ,379.013," "
1, 8000000 ,59.3983," "
2, 8000000 ,101.135," "
3, 8000000 ,131.833," "
4, 8000000 ,174.531," "
5, 8000000 ,194.856," "
6, 8000000 ,243.383," "
7, 8000000 ,274.104," "
8, 8000000 ,300.616," "
9, 8000000 ,324.57," "
10, 8000000 ,341.676," "
11, 8000000 ,381.57," "
12, 8000000 ,419.287," "
13, 8000000 ,271.242," "
14, 8000000 ,432.971," "
15, 8000000 ,445.881," "
16, 8000000 ,437.733," "
1, 9000000 ,57.1675," "
2, 9000000 ,95.7457," "
3, 9000000 ,143.303," "
4, 9000000 ,178.966," "
5, 9000000 ,213.412," "
6, 9000000 ,248.598," "
7, 9000000 ,253.721," "
8, 9000000 ,287.972," "
9, 9000000 ,327.964," "
10, 9000000 ,362.494," "
11, 9000000 ,389.796," "
12, 9000000 ,406.725," "
13, 9000000 ,436.766," "
14, 9000000 ,425.331," "
15, 9000000 ,494.696," "
16, 9000000 ,476.417," "
1, 10000000 ,58.1304," "
2, 10000000 ,105.724," "
3, 10000000 ,146.535," "
4, 10000000 ,183.554," "
5, 10000000 ,220.003," "
6, 10000000 ,253.601," "
7, 10000000 ,280.434," "
8, 10000000 ,322.81," "
9, 10000000 ,339.086," "
10, 10000000 ,367.39," "
11, 10000000 ,406.174," "
12, 10000000 ,416.875," "
13, 10000000 ,419.287," "
14, 10000000 ,440.801," "
15, 10000000 ,459.643," "
16, 10000000 ,520.237," "
