num_threads,vector_size,mfc/s,hpx_counter
1, 1000000 ,15.6314,"
/threads{locality#0/total/total}/idle-rate,1,1.054733,[s],9751,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.054771,[s],9751,[0.01%] "
2, 1000000 ,16.9563,"
/threads{locality#0/total/total}/idle-rate,1,1.064468,[s],9838,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.064558,[s],9853,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.064581,[s],9821,[0.01%] "
3, 1000000 ,18.4781,"
/threads{locality#0/total/total}/idle-rate,1,1.049497,[s],9904,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.049586,[s],9928,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.049629,[s],9901,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.049692,[s],9880,[0.01%] "
4, 1000000 ,19.5725,"
/threads{locality#0/total/total}/idle-rate,1,1.043330,[s],9931,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.043484,[s],9946,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.043555,[s],9951,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.043459,[s],9922,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.043539,[s],9903,[0.01%] "
5, 1000000 ,19.9896,"
/threads{locality#0/total/total}/idle-rate,1,1.044966,[s],9945,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.045154,[s],9933,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.044624,[s],9959,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.044711,[s],9961,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.044750,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.045076,[s],9912,[0.01%] "
6, 1000000 ,20.2073,"
/threads{locality#0/total/total}/idle-rate,1,1.043260,[s],9953,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.043775,[s],9961,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.043619,[s],9921,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.043680,[s],9964,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.043366,[s],9966,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.042999,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.043663,[s],9935,[0.01%] "
7, 1000000 ,20.1296,"
/threads{locality#0/total/total}/idle-rate,1,1.040518,[s],9960,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.040236,[s],9968,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.040413,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.040082,[s],9947,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.040483,[s],9969,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.039905,[s],9971,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.040289,[s],9928,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.040494,[s],9964,[0.01%] "
8, 1000000 ,19.1055,"
/threads{locality#0/total/total}/idle-rate,1,1.060574,[s],9966,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.060134,[s],9976,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.060350,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.060647,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.060437,[s],9928,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.060241,[s],9976,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.060519,[s],9951,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.060268,[s],9977,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.060292,[s],9972,[0.01%] "
9, 1000000 ,21.0686,"
/threads{locality#0/total/total}/idle-rate,1,1.056886,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.057291,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.056994,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.057229,[s],8068,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.057783,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.058014,[s],9929,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.057727,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.058026,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.056972,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.058023,[s],9958,[0.01%] "
10, 1000000 ,20.5838,"
/threads{locality#0/total/total}/idle-rate,1,1.051053,[s],9969,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.049368,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.051161,[s],9936,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.048964,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.050824,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.050694,[s],9051,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.050091,[s],9956,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.049417,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.050111,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.051128,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.049026,[s],9978,[0.01%] "
