num_threads,vector_size,mfc/s,hpx_counter
11, 1000000 ,20.5061,"
/threads{locality#0/total/total}/idle-rate,1,1.053535,[s],9973,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.053720,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.053513,[s],9958,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.054527,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.054389,[s],9978,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.054143,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.054466,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.054844,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.053807,[s],9933,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.055054,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.053823,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.053572,[s],9980,[0.01%] "
12, 1000000 ,19.78,"
/threads{locality#0/total/total}/idle-rate,1,1.042500,[s],9972,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.040141,[s],9976,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.040394,[s],9959,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.040704,[s],9938,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.040253,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.042067,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.042386,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.042178,[s],8835,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.042108,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.042431,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.042212,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.041254,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.040793,[s],9985,[0.01%] "
13, 1000000 ,20.6864,"
/threads{locality#0/total/total}/idle-rate,1,1.041715,[s],9977,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.041489,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.041902,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.039710,[s],9940,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.039784,[s],9965,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.039627,[s],8764,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.040179,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.041015,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.041823,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.040535,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.041554,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.040584,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.041688,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.042023,[s],9984,[0.01%] "
14, 1000000 ,20.6096,"
/threads{locality#0/total/total}/idle-rate,1,1.037177,[s],9975,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.037096,[s],9977,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.036203,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.035108,[s],9982,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.035737,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.037259,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.035161,[s],9962,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.035081,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.035804,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.037184,[s],9955,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.035950,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.037108,[s],9220,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.037221,[s],9236,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.036874,[s],9988,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.037050,[s],9991,[0.01%] "
15, 1000000 ,21.1358,"
/threads{locality#0/total/total}/idle-rate,1,1.036593,[s],9980,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.035939,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.036766,[s],9963,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.035886,[s],9987,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.035768,[s],9988,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.035330,[s],9987,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.035437,[s],9987,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.034773,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.034894,[s],8613,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.035461,[s],9947,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.034915,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.035937,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.036361,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.035999,[s],9991,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.035946,[s],9990,[0.01%]
/threads{locality#0/pool#default/worker-thread#14}/idle-rate,1,1.035961,[s],9985,[0.01%] "
16, 1000000 ,20.1066,"
/threads{locality#0/total/total}/idle-rate,1,1.067424,[s],9974,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.068861,[s],8811,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.069269,[s],9967,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.069340,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.069190,[s],9981,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,1.066256,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,1.066612,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,1.067521,[s],8703,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,1.067611,[s],5233,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,1.066704,[s],8762,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,1.066841,[s],9985,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,1.067590,[s],9984,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,1.066588,[s],9983,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,1.069295,[s],9979,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,1.068482,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#14}/idle-rate,1,1.067555,[s],9986,[0.01%]
/threads{locality#0/pool#default/worker-thread#15}/idle-rate,1,1.069492,[s],9979,[0.01%] "
1, 2000000 ,24.8478,"
/threads{locality#0/total/total}/idle-rate,1,1.091136,[s],9601,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.091174,[s],9601,[0.01%] "
2, 2000000 ,32.1518,"
/threads{locality#0/total/total}/idle-rate,1,1.080121,[s],9799,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.080200,[s],9791,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.080177,[s],9805,[0.01%] "
3, 2000000 ,31.9688,"
/threads{locality#0/total/total}/idle-rate,1,1.083091,[s],9842,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.083147,[s],9840,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.083140,[s],9820,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.083004,[s],9864,[0.01%] "
4, 2000000 ,36.0153,"
/threads{locality#0/total/total}/idle-rate,1,1.074626,[s],9895,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,1.074453,[s],9916,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,1.074173,[s],9870,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,1.074504,[s],9909,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,1.074222,[s],9884,[0.01%] "
