mfc/s,num_threads,vector_size
25.3004, 1, 200000
34.9963, 2, 200000
42.6879, 3, 200000
40.7828, 4, 200000
46.8376, 5, 200000
44.5019, 6, 200000
43.8689, 7, 200000
41.6742, 8, 200000
44.0047, 9, 200000
42.5904, 10, 200000
42.1411, 11, 200000
42.3646, 12, 200000
39.4944, 13, 200000
39.448, 14, 200000
39.0023, 15, 200000
36.1531, 16, 200000
32.313, 1, 400000
53.627, 2, 400000
62.101, 3, 400000
73.1511, 4, 400000
76.8504, 5, 400000
73.733, 6, 400000
70.9726, 7, 400000
78.2629, 8, 400000
79.494, 9, 400000
52.6939, 10, 400000
74.1141, 11, 400000
53.2205, 12, 400000
76.7731, 13, 400000
60.2868, 14, 400000
69.7975, 15, 400000
33.9675, 16, 400000
34.7926, 1, 600000
57.6246, 2, 600000
74.1021, 3, 600000
85.1174, 4, 600000
97.3872, 5, 600000
99.4382, 6, 600000
101.455, 7, 600000
105.837, 8, 600000
106.531, 9, 600000
109.669, 10, 600000
111.669, 11, 600000
91.3792, 12, 600000
107.721, 13, 600000
103.661, 14, 600000
89.9422, 15, 600000
45.1397, 16, 600000
38.6737, 1, 800000
64.7769, 2, 800000
84.8985, 3, 800000
96.841, 4, 800000
108.812, 5, 800000
116.549, 6, 800000
120.678, 7, 800000
96.4319, 8, 800000
131.082, 9, 800000
138.815, 10, 800000
129.304, 11, 800000
140.202, 12, 800000
108.668, 13, 800000
139.665, 14, 800000
27.3002, 15, 800000
113.398, 16, 800000
38.9031, 1, 1000000
69.4548, 2, 1000000
89.9351, 3, 1000000
104.429, 4, 1000000
113.467, 5, 1000000
133.068, 6, 1000000
134.497, 7, 1000000
145.348, 8, 1000000
152.437, 9, 1000000
154.994, 10, 1000000
136.334, 11, 1000000
122.386, 12, 1000000
158.653, 13, 1000000
153.424, 14, 1000000
103.112, 15, 1000000
94.984, 16, 1000000
39.8897, 1, 1200000
72.2067, 2, 1200000
95.6112, 3, 1200000
113.883, 4, 1200000
133.985, 5, 1200000
134.032, 6, 1200000
154.776, 7, 1200000
158.062, 8, 1200000
167.087, 9, 1200000
172.292, 10, 1200000
156.865, 11, 1200000
171.669, 12, 1200000
178.652, 13, 1200000
172.262, 14, 1200000
83.688, 15, 1200000
182.818, 16, 1200000
42.291, 1, 1400000
75.4555, 2, 1400000
100.344, 3, 1400000
119.925, 4, 1400000
137.255, 5, 1400000
142.218, 6, 1400000
162.94, 7, 1400000
178.14, 8, 1400000
166.135, 9, 1400000
93.0841, 10, 1400000
179.903, 11, 1400000
195.643, 12, 1400000
191.39, 13, 1400000
203.84, 14, 1400000
160.569, 15, 1400000
198.473, 16, 1400000
42.5453, 1, 1600000
76.6179, 2, 1600000
103.14, 3, 1600000
114.687, 4, 1600000
144.759, 5, 1600000
159.92, 6, 1600000
174.178, 7, 1600000
181.513, 8, 1600000
181.758, 9, 1600000
203.768, 10, 1600000
211.36, 11, 1600000
204.781, 12, 1600000
