mfc/s,num_threads,vector_size
48.2579, 1, 200000
86.3683, 2, 200000
129.802, 3, 200000
158.495, 4, 200000
189.132, 5, 200000
250.066, 6, 200000
268.14, 7, 200000
282.657, 8, 200000
284.108, 9, 200000
300.604, 10, 200000
335.6, 11, 200000
302.222, 12, 200000
383.786, 13, 200000
315.109, 14, 200000
306.099, 15, 200000
416.853, 16, 200000
49.8256, 1, 400000
90.2623, 2, 400000
135.058, 3, 400000
177.446, 4, 400000
222.098, 5, 400000
256.738, 6, 400000
321.018, 7, 400000
330.756, 8, 400000
350.829, 9, 400000
379.384, 10, 400000
366.207, 11, 400000
453.188, 12, 400000
494.976, 13, 400000
463.091, 14, 400000
527.916, 15, 400000
424.946, 16, 400000
48.377, 1, 600000
99.655, 2, 600000
142.34, 3, 600000
189.112, 4, 600000
243.668, 5, 600000
274.897, 6, 600000
301.876, 7, 600000
353.21, 8, 600000
336.73, 9, 600000
391.033, 10, 600000
437.488, 11, 600000
573.549, 12, 600000
538.704, 13, 600000
551.151, 14, 600000
537.161, 15, 600000
696.375, 16, 600000
52.492, 1, 800000
101.043, 2, 800000
148.85, 3, 800000
207.616, 4, 800000
252.073, 5, 800000
333.557, 6, 800000
321.558, 7, 800000
396.563, 8, 800000
339.425, 9, 800000
462.147, 10, 800000
453.615, 11, 800000
528.974, 12, 800000
531.318, 13, 800000
599.295, 14, 800000
605.591, 15, 800000
596.317, 16, 800000
46.2399, 1, 1000000
112.848, 2, 1000000
147.047, 3, 1000000
216.764, 4, 1000000
242.683, 5, 1000000
343.955, 6, 1000000
333.777, 7, 1000000
425.842, 8, 1000000
359.649, 9, 1000000
408.515, 10, 1000000
439.782, 11, 1000000
559.59, 12, 1000000
83.4361, 13, 1000000
778.498, 14, 1000000
654.605, 15, 1000000
677.823, 16, 1000000
54.0602, 1, 1200000
100.332, 2, 1200000
153.215, 3, 1200000
207.861, 4, 1200000
256.045, 5, 1200000
312.732, 6, 1200000
339.444, 7, 1200000
439.806, 8, 1200000
384.39, 9, 1200000
421.321, 10, 1200000
519.731, 11, 1200000
521.161, 12, 1200000
636.047, 13, 1200000
537.726, 14, 1200000
671.805, 15, 1200000
100.188, 16, 1200000
53.5524, 1, 1400000
137.808, 2, 1400000
147.389, 3, 1400000
190.928, 4, 1400000
258.959, 5, 1400000
313.273, 6, 1400000
359.784, 7, 1400000
412.409, 8, 1400000
380.56, 9, 1400000
116.727, 10, 1400000
463.571, 11, 1400000
542.004, 12, 1400000
593.499, 13, 1400000
679.323, 14, 1400000
721.008, 15, 1400000
851.344, 16, 1400000
55.5549, 1, 1600000
106.016, 2, 1600000
150.774, 3, 1600000
207.038, 4, 1600000
256.957, 5, 1600000
344.167, 6, 1600000
347.011, 7, 1600000
442.382, 8, 1600000
476.974, 9, 1600000
441.649, 10, 1600000
454.221, 11, 1600000
609.674, 12, 1600000
690.761, 13, 1600000
669.527, 14, 1600000
133.45, 15, 1600000
733.776, 16, 1600000
51.6021, 1, 1800000
104.943, 2, 1800000
163.474, 3, 1800000
212.176, 4, 1800000
244.397, 5, 1800000
304.998, 6, 1800000
362.666, 7, 1800000
418.992, 8, 1800000
394.27, 9, 1800000
422.62, 10, 1800000
467.538, 11, 1800000
607.225, 12, 1800000
708.527, 13, 1800000
727.571, 14, 1800000
737.051, 15, 1800000
791.684, 16, 1800000
55.4935, 1, 2000000
106.453, 2, 2000000
158.633, 3, 2000000
195.733, 4, 2000000
263.42, 5, 2000000
313.996, 6, 2000000
418.229, 7, 2000000
396.941, 8, 2000000
390.466, 9, 2000000
379.974, 10, 2000000
481.736, 11, 2000000
564.769, 12, 2000000
544.508, 13, 2000000
622.202, 14, 2000000
614.064, 15, 2000000
869.039, 16, 2000000
54.991, 1, 2200000
106.364, 2, 2200000
156.011, 3, 2200000
239.127, 4, 2200000
264.897, 5, 2200000
509.566, 6, 2200000
354.915, 7, 2200000
454.269, 8, 2200000
391.475, 9, 2200000
441.162, 10, 2200000
473.219, 11, 2200000
625.72, 12, 2200000
610.149, 13, 2200000
786.014, 14, 2200000
784.61, 15, 2200000
799.686, 16, 2200000
59.7308, 1, 2400000
108.332, 2, 2400000
157.146, 3, 2400000
237.645, 4, 2400000
262.814, 5, 2400000
350.57, 6, 2400000
465.486, 7, 2400000
462.063, 8, 2400000
475.505, 9, 2400000
432.831, 10, 2400000
497.99, 11, 2400000
680.855, 12, 2400000
670.852, 13, 2400000
200.128, 14, 2400000
749.383, 15, 2400000
923.642, 16, 2400000
56.4157, 1, 2600000
107.529, 2, 2600000
156.931, 3, 2600000
214.812, 4, 2600000
264.741, 5, 2600000
390.165, 6, 2600000
388.118, 7, 2600000
446.528, 8, 2600000
386.9, 9, 2600000
444.912, 10, 2600000
491.019, 11, 2600000
662.845, 12, 2600000
669.367, 13, 2600000
825.155, 14, 2600000
710.509, 15, 2600000
864.97, 16, 2600000
58.5814, 1, 2800000
109.081, 2, 2800000
154.132, 3, 2800000
209.537, 4, 2800000
284.541, 5, 2800000
373.611, 6, 2800000
589.858, 7, 2800000
463.663, 8, 2800000
397.971, 9, 2800000
446.69, 10, 2800000
461.47, 11, 2800000
601.575, 12, 2800000
626.8, 13, 2800000
724.327, 14, 2800000
562.945, 15, 2800000
896.615, 16, 2800000
58.9738, 1, 3000000
109.644, 2, 3000000
283.272, 3, 3000000
212.958, 4, 3000000
266.828, 5, 3000000
350.677, 6, 3000000
591.151, 7, 3000000
434.904, 8, 3000000
393.764, 9, 3000000
450.144, 10, 3000000
469.089, 11, 3000000
629.563, 12, 3000000
627.567, 13, 3000000
772.014, 14, 3000000
707.798, 15, 3000000
877.414, 16, 3000000
59.5013, 1, 3200000
119.376, 2, 3200000
160.704, 3, 3200000
230.87, 4, 3200000
260.345, 5, 3200000
365.217, 6, 3200000
330.666, 7, 3200000
458.451, 8, 3200000
399.722, 9, 3200000
453.891, 10, 3200000
540.674, 11, 3200000
637.399, 12, 3200000
719.104, 13, 3200000
722.009, 14, 3200000
818.264, 15, 3200000
813.788, 16, 3200000
60.6003, 1, 3400000
111.259, 2, 3400000
161.062, 3, 3400000
268.093, 4, 3400000
231.665, 5, 3400000
378.626, 6, 3400000
434.771, 7, 3400000
515.188, 8, 3400000
400.757, 9, 3400000
446.821, 10, 3400000
653.014, 11, 3400000
617.174, 12, 3400000
730.663, 13, 3400000
837.002, 14, 3400000
683.03, 15, 3400000
819.678, 16, 3400000
60.6561, 1, 3600000
109.936, 2, 3600000
289.093, 3, 3600000
237.784, 4, 3600000
300.049, 5, 3600000
381.657, 6, 3600000
395.08, 7, 3600000
510.55, 8, 3600000
396.787, 9, 3600000
448.549, 10, 3600000
527.063, 11, 3600000
661.548, 12, 3600000
776.03, 13, 3600000
712.822, 14, 3600000
803.375, 15, 3600000
907.048, 16, 3600000
61.0595, 1, 3800000
111.915, 2, 3800000
163.006, 3, 3800000
371.477, 4, 3800000
287.042, 5, 3800000
359.491, 6, 3800000
448.489, 7, 3800000
470.951, 8, 3800000
395.084, 9, 3800000
438.274, 10, 3800000
459.255, 11, 3800000
714.061, 12, 3800000
590.877, 13, 3800000
906.686, 14, 3800000
823.967, 15, 3800000
750.32, 16, 3800000
61.7083, 1, 4000000
95.9187, 2, 4000000
284.023, 3, 4000000
228.136, 4, 4000000
305.777, 5, 4000000
517.389, 6, 4000000
601.644, 7, 4000000
424.312, 8, 4000000
401.412, 9, 4000000
455.71, 10, 4000000
475.328, 11, 4000000
639.364, 12, 4000000
561.638, 13, 4000000
741.581, 14, 4000000
934.979, 15, 4000000
805.325, 16, 4000000
53.8973, 1, 4200000
96.7086, 2, 4200000
282.339, 3, 4200000
219.66, 4, 4200000
291.078, 5, 4200000
521.753, 6, 4200000
597.179, 7, 4200000
477.798, 8, 4200000
444.797, 9, 4200000
490.626, 10, 4200000
491.444, 11, 4200000
692.026, 12, 4200000
740.736, 13, 4200000
764.747, 14, 4200000
737.062, 15, 4200000
898.064, 16, 4200000
63.1807, 1, 4400000
113.439, 2, 4400000
164.572, 3, 4400000
218.279, 4, 4400000
280.117, 5, 4400000
356.376, 6, 4400000
605.945, 7, 4400000
676.774, 8, 4400000
421.277, 9, 4400000
454.213, 10, 4400000
488.201, 11, 4400000
672.409, 12, 4400000
759.299, 13, 4400000
739.6, 14, 4400000
860.557, 15, 4400000
896.353, 16, 4400000
64.1649, 1, 4600000
111.3, 2, 4600000
165.429, 3, 4600000
293.592, 4, 4600000
440.239, 5, 4600000
519.579, 6, 4600000
421.738, 7, 4600000
559.997, 8, 4600000
405.165, 9, 4600000
451.657, 10, 4600000
570.822, 11, 4600000
