37.0096, 1, 100000
64.7229, 2, 100000
94.3694, 3, 100000
114.708, 4, 100000
137.902, 5, 100000
166.911, 6, 100000
186.309, 7, 100000
197.855, 8, 100000
193.253, 9, 100000
194.022, 10, 100000
221.796, 11, 100000
205.644, 12, 100000
205.381, 13, 100000
162.671, 14, 100000
250.461, 15, 100000
238.068, 16, 100000
39.3648, 1, 200000
75.2919, 2, 200000
108.744, 3, 200000
146.148, 4, 200000
157.187, 5, 200000
219.788, 6, 200000
247.467, 7, 200000
214.115, 8, 200000
255.86, 9, 200000
238.727, 10, 200000
279.12, 11, 200000
248.184, 12, 200000
284.345, 13, 200000
348.158, 14, 200000
310.349, 15, 200000
299.411, 16, 200000
40.2528, 1, 300000
79.1005, 2, 300000
113.918, 3, 300000
149.082, 4, 300000
174.591, 5, 300000
201.51, 6, 300000
217.04, 7, 300000
265.36, 8, 300000
260.931, 9, 300000
309.678, 10, 300000
307.745, 11, 300000
311.835, 12, 300000
347.105, 13, 300000
344.284, 14, 300000
433.425, 15, 300000
389.534, 16, 300000
46.0831, 1, 400000
92.5966, 2, 400000
118.253, 3, 400000
157.411, 4, 400000
181.206, 5, 400000
207.177, 6, 400000
262.699, 7, 400000
298.45, 8, 400000
272.908, 9, 400000
302.813, 10, 400000
335.259, 11, 400000
333.42, 12, 400000
366.498, 13, 400000
33.3687, 14, 400000
490.024, 15, 400000
517.797, 16, 400000
43.7595, 1, 500000
88.16, 2, 500000
116.526, 3, 500000
153.138, 4, 500000
183.86, 5, 500000
239.836, 6, 500000
255.286, 7, 500000
296.357, 8, 500000
279.361, 9, 500000
332.138, 10, 500000
349.021, 11, 500000
365.307, 12, 500000
412.621, 13, 500000
420.054, 14, 500000
452.542, 15, 500000
467.546, 16, 500000
41.3662, 1, 600000
80.4169, 2, 600000
118.678, 3, 600000
153.015, 4, 600000
198.556, 5, 600000
244.818, 6, 600000
310.223, 7, 600000
349.441, 8, 600000
308.175, 9, 600000
398.001, 10, 600000
342.791, 11, 600000
442.288, 12, 600000
445.451, 13, 600000
419.276, 14, 600000
493.72, 15, 600000
500.852, 16, 600000
41.9661, 1, 700000
81.8413, 2, 700000
129.829, 3, 700000
161.208, 4, 700000
200.461, 5, 700000
242.66, 6, 700000
294.077, 7, 700000
317.094, 8, 700000
272.909, 9, 700000
322.734, 10, 700000
361.619, 11, 700000
394.446, 12, 700000
525.649, 13, 700000
433.475, 14, 700000
500.636, 15, 700000
504.107, 16, 700000
39.6767, 1, 800000
80.4675, 2, 800000
118.409, 3, 800000
169.496, 4, 800000
201.413, 5, 800000
256.801, 6, 800000
269.249, 7, 800000
307.968, 8, 800000
278.481, 9, 800000
370.775, 10, 800000
357.645, 11, 800000
390.705, 12, 800000
467.398, 13, 800000
499.094, 14, 800000
536.59, 15, 800000
532.197, 16, 800000
37.8302, 1, 900000
81.0323, 2, 900000
121.095, 3, 900000
175.322, 4, 900000
202.24, 5, 900000
252.895, 6, 900000
276.53, 7, 900000
353.134, 8, 900000
299.015, 9, 900000
342.811, 10, 900000
376.073, 11, 900000
533.793, 12, 900000
75.1508, 13, 900000
483.219, 14, 900000
542.164, 15, 900000
529.139, 16, 900000
43.913, 1, 1000000
81.7178, 2, 1000000
130.856, 3, 1000000
157.47, 4, 1000000
205.345, 5, 1000000
284.738, 6, 1000000
323.656, 7, 1000000
332.535, 8, 1000000
341.775, 9, 1000000
346.389, 10, 1000000
361.916, 11, 1000000
400.825, 12, 1000000
415.45, 13, 1000000
571.304, 14, 1000000
479.847, 15, 1000000
636.117, 16, 1000000
