mfc/s,num_threads,vector_size
37.6652, 1, 100000
62.0235, 2, 100000
93.2539, 3, 100000
112.324, 4, 100000
135.933, 5, 100000
161.766, 6, 100000
186.047, 7, 100000
174.006, 8, 100000
205.816, 9, 100000
195.781, 10, 100000
219.505, 11, 100000
210.178, 12, 100000
217.462, 13, 100000
225.988, 14, 100000
233.84, 15, 100000
260.688, 16, 100000
39.1963, 1, 200000
73.007, 2, 200000
110.517, 3, 200000
128.499, 4, 200000
183.69, 5, 200000
212.136, 6, 200000
209.542, 7, 200000
265.232, 8, 200000
266.57, 9, 200000
250.732, 10, 200000
252.075, 11, 200000
308.98, 12, 200000
335.924, 13, 200000
267.841, 14, 200000
250.553, 15, 200000
362.722, 16, 200000
37.5997, 1, 300000
77.2569, 2, 300000
112.642, 3, 300000
142.932, 4, 300000
182.346, 5, 300000
224.262, 6, 300000
229.331, 7, 300000
262.487, 8, 300000
308.849, 9, 300000
285.562, 10, 300000
338.519, 11, 300000
335.576, 12, 300000
345.768, 13, 300000
392.964, 14, 300000
375.084, 15, 300000
379.056, 16, 300000
38.1055, 1, 400000
81.9954, 2, 400000
112.691, 3, 400000
146.549, 4, 400000
187.347, 5, 400000
230.882, 6, 400000
233.944, 7, 400000
298.106, 8, 400000
313.061, 9, 400000
323.248, 10, 400000
322.218, 11, 400000
326.967, 12, 400000
371.589, 13, 400000
404.314, 14, 400000
346.326, 15, 400000
541.69, 16, 400000
40.6932, 1, 500000
79.0225, 2, 500000
116.987, 3, 500000
153.312, 4, 500000
159.573, 5, 500000
269.247, 6, 500000
247.584, 7, 500000
297.252, 8, 500000
281.037, 9, 500000
327.423, 10, 500000
330.407, 11, 500000
363.919, 12, 500000
427.758, 13, 500000
457.507, 14, 500000
41.6968, 15, 500000
470.256, 16, 500000
43.9328, 1, 600000
81.1852, 2, 600000
116.507, 3, 600000
161.829, 4, 600000
187.557, 5, 600000
233.555, 6, 600000
259.51, 7, 600000
299.985, 8, 600000
304.493, 9, 600000
312.279, 10, 600000
373.319, 11, 600000
413.82, 12, 600000
464.309, 13, 600000
439.129, 14, 600000
438.543, 15, 600000
50.0645, 16, 600000
40.1769, 1, 700000
79.8915, 2, 700000
118.19, 3, 700000
169.303, 4, 700000
208.872, 5, 700000
255.459, 6, 700000
287.724, 7, 700000
315.491, 8, 700000
290.066, 9, 700000
326.197, 10, 700000
355.966, 11, 700000
408.62, 12, 700000
479.222, 13, 700000
504.484, 14, 700000
501.601, 15, 700000
556.408, 16, 700000
42.3371, 1, 800000
89.8399, 2, 800000
121.494, 3, 800000
162.803, 4, 800000
200.096, 5, 800000
253.533, 6, 800000
268.669, 7, 800000
362.537, 8, 800000
310.664, 9, 800000
341.887, 10, 800000
366.08, 11, 800000
385.003, 12, 800000
421.521, 13, 800000
544.098, 14, 800000
501.511, 15, 800000
662.518, 16, 800000
42.4814, 1, 900000
76.8699, 2, 900000
121.882, 3, 900000
165.725, 4, 900000
224.88, 5, 900000
270.778, 6, 900000
273.31, 7, 900000
324.902, 8, 900000
292.927, 9, 900000
346.392, 10, 900000
366.419, 11, 900000
472.596, 12, 900000
476.003, 13, 900000
531.782, 14, 900000
558.436, 15, 900000
581.619, 16, 900000
40.4059, 1, 1000000
81.6032, 2, 1000000
119.646, 3, 1000000
148.367, 4, 1000000
203.762, 5, 1000000
281.603, 6, 1000000
294.24, 7, 1000000
322.165, 8, 1000000
306.762, 9, 1000000
335.067, 10, 1000000
369.32, 11, 1000000
434.822, 12, 1000000
502.942, 13, 1000000
486.439, 14, 1000000
558.875, 15, 1000000
638.439, 16, 1000000
