num_threads,vector_size,mfc/s,hpx_counter
11, 1000000 ,20.3878,"
/threads{locality#0/total/total}/idle-rate,1,0.046735,[s],9365,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.046458,[s],9625,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.047761,[s],8515,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.047026,[s],9542,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.047187,[s],9587,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.047131,[s],9666,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.047625,[s],9105,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.046672,[s],9579,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.046921,[s],9599,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.047460,[s],9321,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.047060,[s],9505,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.046773,[s],9412,[0.01%] "
12, 1000000 ,19.3237,"
/threads{locality#0/total/total}/idle-rate,1,0.060028,[s],9544,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.059375,[s],9753,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.059246,[s],9698,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.059490,[s],9713,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.059122,[s],8822,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.059639,[s],9675,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.060551,[s],9707,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.060418,[s],9314,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.059871,[s],8991,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.059978,[s],9625,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.060297,[s],9052,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.060448,[s],9704,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,0.059905,[s],9705,[0.01%] "
13, 1000000 ,20.2175,"
/threads{locality#0/total/total}/idle-rate,1,0.045517,[s],9446,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.045550,[s],9029,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.044696,[s],9645,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.044767,[s],7453,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.045781,[s],8285,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.045075,[s],9659,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.044659,[s],9602,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.045222,[s],9600,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.045802,[s],9598,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.044965,[s],9643,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.045562,[s],9692,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.045332,[s],9511,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,0.045412,[s],9680,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,0.045241,[s],9644,[0.01%] "
14, 1000000 ,20.0296,"
/threads{locality#0/total/total}/idle-rate,1,0.059017,[s],9497,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.058841,[s],9743,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.059077,[s],8957,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.059492,[s],8932,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.058514,[s],9266,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.058576,[s],9710,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.058232,[s],8952,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.058167,[s],9317,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.058752,[s],9729,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.058870,[s],9559,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.059378,[s],9720,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.058898,[s],9658,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,0.058795,[s],9611,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,0.059506,[s],9654,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,0.059278,[s],9697,[0.01%] "
15, 1000000 ,20.191,"
/threads{locality#0/total/total}/idle-rate,1,0.038552,[s],9438,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.037932,[s],9476,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.038260,[s],9495,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.038631,[s],8245,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.037486,[s],9596,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.037743,[s],9051,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.037308,[s],9036,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.037372,[s],9622,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.037179,[s],9193,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.037937,[s],9520,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.038719,[s],9673,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.038464,[s],9679,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,0.038481,[s],9603,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,0.038312,[s],9665,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,0.038203,[s],9637,[0.01%]
/threads{locality#0/pool#default/worker-thread#14}/idle-rate,1,0.038761,[s],9663,[0.01%] "
16, 1000000 ,17.1969,"
/threads{locality#0/total/total}/idle-rate,1,0.077023,[s],9632,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.077173,[s],8163,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.076700,[s],9280,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.076461,[s],9394,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.077052,[s],9799,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.075796,[s],9599,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.076242,[s],9832,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.076254,[s],9851,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.075550,[s],9825,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.077062,[s],9801,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.076090,[s],9881,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.075609,[s],9860,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,0.075577,[s],9816,[0.01%]
/threads{locality#0/pool#default/worker-thread#12}/idle-rate,1,0.077241,[s],9863,[0.01%]
/threads{locality#0/pool#default/worker-thread#13}/idle-rate,1,0.076598,[s],9823,[0.01%]
/threads{locality#0/pool#default/worker-thread#14}/idle-rate,1,0.076303,[s],9834,[0.01%]
/threads{locality#0/pool#default/worker-thread#15}/idle-rate,1,0.077103,[s],9850,[0.01%] "
1, 2000000 ,24.1946,"
/threads{locality#0/total/total}/idle-rate,1,0.096648,[s],5323,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.096674,[s],5321,[0.01%] "
2, 2000000 ,30.5852,"
/threads{locality#0/total/total}/idle-rate,1,0.082493,[s],7153,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.082733,[s],7310,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.082720,[s],6986,[0.01%] "
3, 2000000 ,33.3161,"
/threads{locality#0/total/total}/idle-rate,1,0.082772,[s],8015,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.082721,[s],8326,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.082792,[s],7716,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.082726,[s],8004,[0.01%] "
4, 2000000 ,35.0342,"
/threads{locality#0/total/total}/idle-rate,1,0.082916,[s],8487,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.082839,[s],8705,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.082710,[s],8072,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.082868,[s],8791,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.082804,[s],8380,[0.01%] "
5, 2000000 ,36.1821,"
/threads{locality#0/total/total}/idle-rate,1,0.079325,[s],8666,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.079607,[s],8881,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.079253,[s],8798,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.079468,[s],8278,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.079282,[s],8805,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.079555,[s],8567,[0.01%] "
6, 2000000 ,38.5535,"
/threads{locality#0/total/total}/idle-rate,1,0.065068,[s],8894,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.064551,[s],9007,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.064621,[s],8393,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.064996,[s],8752,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.064467,[s],9120,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.065102,[s],9067,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.064910,[s],9024,[0.01%] "
7, 2000000 ,36.3247,"
/threads{locality#0/total/total}/idle-rate,1,0.074322,[s],8961,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.074772,[s],9256,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.074395,[s],6333,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.074519,[s],8857,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.074222,[s],9217,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.074930,[s],8539,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.074354,[s],9254,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.074947,[s],9188,[0.01%] "
8, 2000000 ,38.059,"
/threads{locality#0/total/total}/idle-rate,1,0.095564,[s],9384,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.095468,[s],9447,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.095166,[s],9527,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.095300,[s],8958,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.095753,[s],9443,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.095674,[s],9500,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.095860,[s],9484,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.095877,[s],9198,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.095698,[s],9502,[0.01%] "
9, 2000000 ,38.8297,"
/threads{locality#0/total/total}/idle-rate,1,0.074400,[s],9162,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.074569,[s],9397,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.074912,[s],8755,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.074776,[s],8024,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.075256,[s],9439,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.074944,[s],9406,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.075156,[s],9413,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.074434,[s],9418,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.074492,[s],8118,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.075278,[s],9044,[0.01%] "
10, 2000000 ,39.0411,"
/threads{locality#0/total/total}/idle-rate,1,0.075418,[s],9369,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.074823,[s],9370,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.074421,[s],9503,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.075278,[s],9122,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.075135,[s],8790,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.074654,[s],9497,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.074571,[s],9524,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.074982,[s],9505,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.074458,[s],9454,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.075463,[s],9430,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.074465,[s],9493,[0.01%] "
