num_threads,vector_size,mfc/s,hpx_counter
1, 1000000 ,14.4827,"
/threads{locality#0/total/total}/idle-rate,1,0.062682,[s],5189,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.062707,[s],5186,[0.01%] "
2, 1000000 ,17.4368,"
/threads{locality#0/total/total}/idle-rate,1,0.057855,[s],7387,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.057896,[s],7576,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.057893,[s],7172,[0.01%] "
3, 1000000 ,18.3063,"
/threads{locality#0/total/total}/idle-rate,1,0.050986,[s],8003,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.051110,[s],8473,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.051150,[s],8022,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.051116,[s],7517,[0.01%] "
4, 1000000 ,18.6216,"
/threads{locality#0/total/total}/idle-rate,1,0.048304,[s],8419,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.048031,[s],8382,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.048156,[s],7890,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.048188,[s],8705,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.048118,[s],8698,[0.01%] "
5, 1000000 ,19.2252,"
/threads{locality#0/total/total}/idle-rate,1,0.039188,[s],8418,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.039520,[s],8858,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.039661,[s],8930,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.039410,[s],9051,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.039352,[s],8408,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.039332,[s],7928,[0.01%] "
6, 1000000 ,20.0308,"
/threads{locality#0/total/total}/idle-rate,1,0.038894,[s],8813,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.038800,[s],9140,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.039126,[s],9116,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.038539,[s],8380,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.038629,[s],9100,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.039094,[s],9086,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.039086,[s],8053,[0.01%] "
7, 1000000 ,20.1898,"
/threads{locality#0/total/total}/idle-rate,1,0.038547,[s],8938,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.038680,[s],9189,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.038090,[s],9287,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.038413,[s],9270,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.038154,[s],9207,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.038253,[s],9157,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.038268,[s],8424,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.038116,[s],8050,[0.01%] "
8, 1000000 ,18.7126,"
/threads{locality#0/total/total}/idle-rate,1,0.052367,[s],9256,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.052069,[s],9531,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.051697,[s],8932,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.051923,[s],8575,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.051526,[s],9417,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.051585,[s],9482,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.052241,[s],9043,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.052255,[s],9566,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.051734,[s],9501,[0.01%] "
9, 1000000 ,19.6113,"
/threads{locality#0/total/total}/idle-rate,1,0.055831,[s],9355,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.055645,[s],9458,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.055352,[s],9556,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.056071,[s],9199,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.055925,[s],9555,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.055431,[s],9611,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.055601,[s],9602,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.055182,[s],9176,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.055379,[s],9648,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.055856,[s],8294,[0.01%] "
10, 1000000 ,20.8429,"
/threads{locality#0/total/total}/idle-rate,1,0.056024,[s],9344,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.056467,[s],9480,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.056710,[s],8274,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.056362,[s],9604,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.056759,[s],9576,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.056915,[s],6339,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.056051,[s],9586,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.056670,[s],9599,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.056267,[s],8750,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.056076,[s],9508,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.056055,[s],9525,[0.01%] "
