num_threads,vector_size,mfc/s
1, 1000000 ,38.5773,"
2, 1000000 ,68.573,"
3, 1000000 ,91.4662,"
4, 1000000 ,108.909,"
5, 1000000 ,118.765,"
6, 1000000 ,132.293,"
7, 1000000 ,139.645,"
8, 1000000 ,108.755,"
9, 1000000 ,110.632,"
10, 1000000 ,155.982,"
11, 1000000 ,155.812,"
12, 1000000 ,157.778,"
13, 1000000 ,109.099,"
14, 1000000 ,136.537,"
15, 1000000 ,149.031,"
16, 1000000 ,33.5368,"
1, 2000000 ,45.6267,"
2, 2000000 ,78.5855,"
3, 2000000 ,108.542,"
4, 2000000 ,132.82,"
5, 2000000 ,146.649,"
6, 2000000 ,170.678,"
7, 2000000 ,188.377,"
8, 2000000 ,203.438,"
9, 2000000 ,216.708,"
10, 2000000 ,217.912,"
11, 2000000 ,232.748,"
12, 2000000 ,311.915,"
13, 2000000 ,229.174,"
14, 2000000 ,201.288,"
15, 2000000 ,250.721,"
16, 2000000 ,144.959,"
1, 3000000 ,48.9341,"
2, 3000000 ,84.6048,"
3, 3000000 ,118.11,"
4, 3000000 ,154.044,"
5, 3000000 ,172.335,"
6, 3000000 ,194.187,"
7, 3000000 ,222.552,"
8, 3000000 ,241.546,"
9, 3000000 ,249.397,"
10, 3000000 ,165.764,"
11, 3000000 ,276.167,"
12, 3000000 ,147.907,"
13, 3000000 ,311.591,"
14, 3000000 ,310.816,"
15, 3000000 ,324.079,"
16, 3000000 ,290.839,"
1, 4000000 ,45.4153,"
2, 4000000 ,89.9402,"
3, 4000000 ,122.96,"
4, 4000000 ,155.394,"
5, 4000000 ,185.34,"
6, 4000000 ,213.402,"
7, 4000000 ,236.351,"
8, 4000000 ,261.66,"
9, 4000000 ,280.978,"
10, 4000000 ,296.846,"
11, 4000000 ,310.511,"
12, 4000000 ,330.006,"
13, 4000000 ,267.112,"
14, 4000000 ,228.011,"
15, 4000000 ,219.66,"
16, 4000000 ,331.785,"
1, 5000000 ,51.5198,"
2, 5000000 ,92.2271,"
3, 5000000 ,130.191,"
4, 5000000 ,164.366,"
5, 5000000 ,188.133,"
6, 5000000 ,222.074,"
7, 5000000 ,252.105,"
8, 5000000 ,274.71,"
9, 5000000 ,293.669,"
10, 5000000 ,319.366,"
11, 5000000 ,340.437,"
12, 5000000 ,354.811,"
13, 5000000 ,382.409,"
14, 5000000 ,209.161,"
15, 5000000 ,282.279,"
16, 5000000 ,249.638,"
1, 6000000 ,55.3587,"
2, 6000000 ,95.4958,"
3, 6000000 ,133.159,"
4, 6000000 ,168.44,"
5, 6000000 ,199.96,"
6, 6000000 ,228.938,"
7, 6000000 ,258.52,"
8, 6000000 ,190.894,"
9, 6000000 ,310.575,"
10, 6000000 ,330.142,"
11, 6000000 ,353.357,"
12, 6000000 ,286.807,"
13, 6000000 ,296.106,"
14, 6000000 ,386.125,"
15, 6000000 ,410.678,"
16, 6000000 ,405.159,"
1, 7000000 ,59.2578,"
2, 7000000 ,99.9172,"
3, 7000000 ,137.765,"
4, 7000000 ,172.84,"
5, 7000000 ,207.623,"
6, 7000000 ,239.94,"
7, 7000000 ,268.766,"
8, 7000000 ,286.568,"
9, 7000000 ,317.158,"
10, 7000000 ,353.321,"
11, 7000000 ,370.233,"
12, 7000000 ,404.437,"
13, 7000000 ,397.727,"
14, 7000000 ,383.289,"
15, 7000000 ,317.302,"
16, 7000000 ,293.464,"
1, 8000000 ,61.5801,"
2, 8000000 ,94.1997,"
3, 8000000 ,141.982,"
4, 8000000 ,179.159,"
5, 8000000 ,213.555,"
6, 8000000 ,227.816,"
7, 8000000 ,276.912,"
8, 8000000 ,306.701,"
9, 8000000 ,335.472,"
10, 8000000 ,305.087,"
11, 8000000 ,389.294,"
12, 8000000 ,392.715,"
13, 8000000 ,419.815,"
14, 8000000 ,442.845,"
15, 8000000 ,446.902,"
16, 8000000 ,500,"
1, 9000000 ,62.6078,"
2, 9000000 ,105.391,"
3, 9000000 ,137.18,"
4, 9000000 ,181.976,"
5, 9000000 ,217.334,"
6, 9000000 ,237.724,"
7, 9000000 ,264.131,"
8, 9000000 ,313.534,"
9, 9000000 ,279.868,"
10, 9000000 ,362.713,"
11, 9000000 ,393.597,"
12, 9000000 ,414.06,"
13, 9000000 ,438.532,"
14, 9000000 ,463.989,"
15, 9000000 ,435.14,"
16, 9000000 ,312.283,"
1, 10000000 ,65.505,"
2, 10000000 ,108.313,"
3, 10000000 ,142.44,"
4, 10000000 ,186.258,"
5, 10000000 ,220.921,"
6, 10000000 ,256.141,"
7, 10000000 ,290.918,"
8, 10000000 ,323.813,"
9, 10000000 ,352.535,"
10, 10000000 ,392.696,"
11, 10000000 ,361.781,"
12, 10000000 ,434.764,"
13, 10000000 ,473.328,"
14, 10000000 ,470.655,"
15, 10000000 ,514.642,"
16, 10000000 ,523.944,"
