num_threads,vector_size,mfc/s,hpx_counter
1, 1000000 ,14.6664,"
/threads{locality#0/total/total}/idle-rate,1,0.061662,[s],5343,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.061687,[s],5339,[0.01%] "
2, 1000000 ,17.4368,"
/threads{locality#0/total/total}/idle-rate,1,0.057735,[s],7380,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.057969,[s],7209,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.057950,[s],7527,[0.01%] "
3, 1000000 ,18.9215,"
/threads{locality#0/total/total}/idle-rate,1,0.048309,[s],8013,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.048359,[s],8565,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.048341,[s],7948,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.048417,[s],7513,[0.01%] "
4, 1000000 ,18.8601,"
/threads{locality#0/total/total}/idle-rate,1,0.048078,[s],8420,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.047899,[s],8863,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.047989,[s],7784,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.048138,[s],8189,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.048151,[s],8852,[0.01%] "
5, 1000000 ,19.1476,"
/threads{locality#0/total/total}/idle-rate,1,0.047211,[s],8699,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.046923,[s],8997,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.046693,[s],9025,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.047094,[s],8929,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.047042,[s],8486,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.047138,[s],8029,[0.01%] "
6, 1000000 ,20.5406,"
/threads{locality#0/total/total}/idle-rate,1,0.033744,[s],8771,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.033507,[s],8896,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.033846,[s],7924,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.033402,[s],8496,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.033461,[s],9083,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.033769,[s],9079,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.033701,[s],9136,[0.01%] "
7, 1000000 ,20.0908,"
/threads{locality#0/total/total}/idle-rate,1,0.039936,[s],8952,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.040294,[s],9231,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.040420,[s],8603,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.039851,[s],9195,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.040355,[s],9208,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.040051,[s],9168,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.040449,[s],9182,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.039964,[s],8090,[0.01%] "
8, 1000000 ,19.8843,"
/threads{locality#0/total/total}/idle-rate,1,0.053085,[s],9194,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.053694,[s],8815,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.053199,[s],8999,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.053372,[s],9420,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.053520,[s],9049,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.053278,[s],8561,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.053134,[s],9428,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.053667,[s],9449,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.053303,[s],9513,[0.01%] "
9, 1000000 ,20.3136,"
/threads{locality#0/total/total}/idle-rate,1,0.056019,[s],8789,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.056479,[s],8729,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.056204,[s],8713,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.056851,[s],4711,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.056606,[s],7860,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.056702,[s],9500,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.056554,[s],8922,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.056728,[s],9558,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.056312,[s],9149,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.056878,[s],9448,[0.01%] "
10, 1000000 ,20.1963,"
/threads{locality#0/total/total}/idle-rate,1,0.053793,[s],9301,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.053437,[s],9127,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.053099,[s],9569,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.052812,[s],9576,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.053486,[s],8422,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.053214,[s],9597,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.053360,[s],8198,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.053782,[s],9642,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.053373,[s],9634,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.053835,[s],8307,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.052848,[s],9471,[0.01%] "
11, 1000000 ,18.4424,"
/threads{locality#0/total/total}/idle-rate,1,0.050025,[s],9346,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.049932,[s],9597,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.051019,[s],8463,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.050518,[s],9672,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.050355,[s],9671,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.050094,[s],9109,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.050584,[s],9659,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.050971,[s],8634,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.050844,[s],9557,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.051060,[s],9402,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.051000,[s],9483,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.051072,[s],9510,[0.01%] "
12, 1000000 ,14.5932,"
/threads{locality#0/total/total}/idle-rate,1,0.074066,[s],9351,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.073069,[s],7594,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.073411,[s],9531,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.074302,[s],9134,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.073287,[s],9622,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.073632,[s],9742,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.073855,[s],9780,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.073952,[s],9796,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.074147,[s],8063,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.073591,[s],9733,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.073611,[s],9819,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.073457,[s],9769,[0.01%]
/threads{locality#0/pool#default/worker-thread#11}/idle-rate,1,0.073672,[s],9805,[0.01%] "
