num_threads,vector_size,mfc/s,hpx_counter
1, 1000000 ,14.8408,"
/threads{locality#0/total/total}/idle-rate,1,0.061783,[s],5309,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.061807,[s],5305,[0.01%] "
2, 1000000 ,17.7057,"
/threads{locality#0/total/total}/idle-rate,1,0.053623,[s],7206,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.053715,[s],7060,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.053654,[s],7331,[0.01%] "
3, 1000000 ,18.4054,"
/threads{locality#0/total/total}/idle-rate,1,0.052704,[s],8142,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.052507,[s],8732,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.052543,[s],8042,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.052610,[s],7628,[0.01%] "
4, 1000000 ,19.1718,"
/threads{locality#0/total/total}/idle-rate,1,0.047944,[s],8420,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.048051,[s],8724,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.047847,[s],7833,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.048084,[s],8818,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.047878,[s],8316,[0.01%] "
5, 1000000 ,19.4624,"
/threads{locality#0/total/total}/idle-rate,1,0.047130,[s],8682,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.047206,[s],9011,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.047276,[s],8963,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.047391,[s],8374,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.047160,[s],7968,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.047519,[s],9099,[0.01%] "
6, 1000000 ,19.6098,"
/threads{locality#0/total/total}/idle-rate,1,0.042084,[s],8834,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.042298,[s],9022,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.041956,[s],8621,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.042198,[s],9195,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.041802,[s],7990,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.042328,[s],9040,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.041884,[s],9127,[0.01%] "
7, 1000000 ,18.7105,"
/threads{locality#0/total/total}/idle-rate,1,0.044715,[s],9009,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.045116,[s],9278,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.044600,[s],9208,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.045021,[s],8637,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.044775,[s],9299,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.044912,[s],9265,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.044929,[s],9208,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.044797,[s],8185,[0.01%] "
8, 1000000 ,20.1074,"
/threads{locality#0/total/total}/idle-rate,1,0.049535,[s],8666,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.049317,[s],8864,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.049375,[s],8444,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.049928,[s],9491,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.049596,[s],7596,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.049476,[s],9150,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.049682,[s],6987,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.049621,[s],9360,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.049702,[s],9434,[0.01%] "
9, 1000000 ,20.2298,"
/threads{locality#0/total/total}/idle-rate,1,0.048899,[s],9242,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.048307,[s],9382,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.048667,[s],9485,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.048267,[s],9378,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.048514,[s],8387,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.048835,[s],9465,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.049091,[s],8992,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.048339,[s],9535,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.048461,[s],9455,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.048929,[s],9341,[0.01%] "
10, 1000000 ,20.8091,"
/threads{locality#0/total/total}/idle-rate,1,0.039899,[s],9228,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.040342,[s],9424,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.040036,[s],9392,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.040002,[s],9425,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.040282,[s],9448,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.040552,[s],9161,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.040467,[s],8256,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.040683,[s],8775,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.040191,[s],9473,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.040703,[s],9373,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.039951,[s],9480,[0.01%] "
11, 1000000 ,18.735,"
/threads{locality#0/total/total}/idle-rate,1,0.045140,[s],9220,[0.01%]
/threads{locality#0/pool#default/worker-thread#0}/idle-rate,1,0.044324,[s],8951,[0.01%]
/threads{locality#0/pool#default/worker-thread#1}/idle-rate,1,0.044265,[s],8558,[0.01%]
/threads{locality#0/pool#default/worker-thread#2}/idle-rate,1,0.045031,[s],9458,[0.01%]
/threads{locality#0/pool#default/worker-thread#3}/idle-rate,1,0.044849,[s],9386,[0.01%]
/threads{locality#0/pool#default/worker-thread#4}/idle-rate,1,0.044946,[s],9092,[0.01%]
/threads{locality#0/pool#default/worker-thread#5}/idle-rate,1,0.044566,[s],9498,[0.01%]
/threads{locality#0/pool#default/worker-thread#6}/idle-rate,1,0.044431,[s],9584,[0.01%]
/threads{locality#0/pool#default/worker-thread#7}/idle-rate,1,0.044670,[s],9035,[0.01%]
/threads{locality#0/pool#default/worker-thread#8}/idle-rate,1,0.045056,[s],9536,[0.01%]
/threads{locality#0/pool#default/worker-thread#9}/idle-rate,1,0.044983,[s],9506,[0.01%]
/threads{locality#0/pool#default/worker-thread#10}/idle-rate,1,0.044186,[s],9567,[0.01%] "
