num_threads,vector_size,mfc/s,counter
3, 4000000 ,122.208," "
4, 4000000 ,155.945," "
5, 4000000 ,183.343," "
6, 4000000 ,210.493," "
7, 4000000 ,235.807," "
8, 4000000 ,259.168," "
9, 4000000 ,271.555," "
10, 4000000 ,304.901," "
11, 4000000 ,193.405," "
12, 4000000 ,321.673," "
13, 4000000 ,338.381," "
14, 4000000 ,343.643," "
15, 4000000 ,362.878," "
16, 4000000 ,358.519," "
1, 5000000 ,53.2566," "
2, 5000000 ,94.0221," "
3, 5000000 ,128.641," "
4, 5000000 ,160.478," "
5, 5000000 ,191.344," "
6, 5000000 ,220.877," "
7, 5000000 ,241.616," "
8, 5000000 ,273.523," "
9, 5000000 ,294.829," "
10, 5000000 ,315.796," "
11, 5000000 ,326.819," "
12, 5000000 ,349.871," "
13, 5000000 ,371.885," "
14, 5000000 ,395.101," "
15, 5000000 ,250.501," "
16, 5000000 ,258.144," "
1, 6000000 ,55.4262," "
2, 6000000 ,95.8635," "
3, 6000000 ,132.028," "
4, 6000000 ,165.216," "
5, 6000000 ,193.73," "
6, 6000000 ,230.379," "
7, 6000000 ,261.552," "
8, 6000000 ,285.144," "
9, 6000000 ,305.686," "
10, 6000000 ,325.168," "
11, 6000000 ,332.299," "
12, 6000000 ,374.368," "
13, 6000000 ,388.35," "
14, 6000000 ,398.168," "
15, 6000000 ,418.089," "
16, 6000000 ,276.091," "
1, 7000000 ,51.8012," "
2, 7000000 ,100.994," "
3, 7000000 ,136.025," "
4, 7000000 ,169.176," "
5, 7000000 ,206.996," "
6, 7000000 ,236.263," "
7, 7000000 ,265.131," "
8, 7000000 ,294.254," "
9, 7000000 ,289.567," "
10, 7000000 ,347.982," "
11, 7000000 ,268.384," "
12, 7000000 ,274.963," "
13, 7000000 ,428.764," "
14, 7000000 ,430.584," "
15, 7000000 ,374.612," "
16, 7000000 ,478.502," "
1, 8000000 ,59.6774," "
2, 8000000 ,101.483," "
3, 8000000 ,138.896," "
4, 8000000 ,174.387," "
5, 8000000 ,194.001," "
6, 8000000 ,218.782," "
7, 8000000 ,277.469," "
8, 8000000 ,306.713," "
9, 8000000 ,323.874," "
10, 8000000 ,379.579," "
11, 8000000 ,378.519," "
12, 8000000 ,402.131," "
13, 8000000 ,418.739," "
14, 8000000 ,434.924," "
15, 8000000 ,472.311," "
16, 8000000 ,292.547," "
1, 9000000 ,52.5406," "
2, 9000000 ,101.185," "
3, 9000000 ,142.36," "
4, 9000000 ,179.921," "
5, 9000000 ,211.025," "
6, 9000000 ,237.574," "
7, 9000000 ,272.117," "
8, 9000000 ,310.731," "
9, 9000000 ,339.111," "
10, 9000000 ,360.317," "
11, 9000000 ,380.052," "
12, 9000000 ,280.086," "
13, 9000000 ,437.594," "
14, 9000000 ,466.732," "
15, 9000000 ,353.454," "
16, 9000000 ,308.135," "
1, 10000000 ,67.1677," "
2, 10000000 ,109.818," "
3, 10000000 ,146.09," "
4, 10000000 ,182.675," "
5, 10000000 ,220.012," "
6, 10000000 ,254.039," "
7, 10000000 ,288.434," "
8, 10000000 ,319.01," "
9, 10000000 ,344.602," "
10, 10000000 ,358.038," "
11, 10000000 ,399.393," "
12, 10000000 ,301.823," "
13, 10000000 ,457.143," "
14, 10000000 ,488.448," "
15, 10000000 ,493.754," "
16, 10000000 ,485.979," "
1, 1000000 ,38.6324," "
2, 1000000 ,68.2827," "
3, 1000000 ,88.6446," "
4, 1000000 ,104.943," "
5, 1000000 ,119.546," "
6, 1000000 ,130.242," "
7, 1000000 ,139.821," "
8, 1000000 ,141.764," "
9, 1000000 ,152.812," "
10, 1000000 ,146.499," "
11, 1000000 ,114.758," "
12, 1000000 ,159.49," "
13, 1000000 ,114.824," "
14, 1000000 ,54.9511," "
15, 1000000 ,153.374," "
16, 1000000 ,158.228," "
1, 2000000 ,45.1314," "
2, 2000000 ,77.918," "
3, 2000000 ,105.893," "
4, 2000000 ,126.247," "
5, 2000000 ,150.784," "
6, 2000000 ,170.853," "
7, 2000000 ,196.175," "
8, 2000000 ,195.046," "
9, 2000000 ,211.775," "
10, 2000000 ,223.464," "
11, 2000000 ,220.216," "
12, 2000000 ,233.618," "
13, 2000000 ,129.257," "
14, 2000000 ,245.64," "
15, 2000000 ,249.969," "
16, 2000000 ,131.173," "
1, 3000000 ,48.609," "
2, 3000000 ,85.9254," "
3, 3000000 ,117.078," "
4, 3000000 ,143.527," "
5, 3000000 ,168.105," "
6, 3000000 ,193.673," "
7, 3000000 ,216.357," "
8, 3000000 ,234.265," "
9, 3000000 ,250.25," "
10, 3000000 ,236.948," "
11, 3000000 ,248.427," "
12, 3000000 ,285.551," "
13, 3000000 ,306.78," "
14, 3000000 ,306.341," "
15, 3000000 ,209.673," "
16, 3000000 ,287.632," "
1, 4000000 ,50.6836," "
2, 4000000 ,89.4614," "
3, 4000000 ,123.858," "
4, 4000000 ,153.894," "
5, 4000000 ,167.168," "
6, 4000000 ,204.708," "
7, 4000000 ,234.124," "
8, 4000000 ,259.202," "
9, 4000000 ,270.984," "
10, 4000000 ,288.33," "
11, 4000000 ,304.785," "
12, 4000000 ,321.518," "
13, 4000000 ,311.575," "
14, 4000000 ,347.162," "
15, 4000000 ,359.292," "
16, 4000000 ,266.987," "
1, 5000000 ,52.8994," "
2, 5000000 ,93.7154," "
3, 5000000 ,128.641," "
4, 5000000 ,160.426," "
5, 5000000 ,191.132," "
6, 5000000 ,219.945," "
7, 5000000 ,249.029," "
8, 5000000 ,268.889," "
9, 5000000 ,296.859," "
10, 5000000 ,309.31," "
11, 5000000 ,316.076," "
12, 5000000 ,202.569," "
13, 5000000 ,345.973," "
14, 5000000 ,385.951," "
15, 5000000 ,416.389," "
16, 5000000 ,247.77," "
1, 6000000 ,55.3643," "
2, 6000000 ,98.2865," "
3, 6000000 ,125.789," "
4, 6000000 ,166.362," "
5, 6000000 ,196.67," "
6, 6000000 ,211.692," "
7, 6000000 ,257.887," "
8, 6000000 ,285.415," "
9, 6000000 ,294.161," "
10, 6000000 ,332.171," "
11, 6000000 ,346.821," "
12, 6000000 ,368.709," "
13, 6000000 ,385.927," "
14, 6000000 ,255.189," "
15, 6000000 ,396.092," "
16, 6000000 ,340.213," "
1, 7000000 ,57.4378," "
2, 7000000 ,101.538," "
3, 7000000 ,135.706," "
4, 7000000 ,171.245," "
5, 7000000 ,190.011," "
6, 7000000 ,226.589," "
7, 7000000 ,268.539," "
8, 7000000 ,293.022," "
9, 7000000 ,291.521," "
10, 7000000 ,331.204," "
11, 7000000 ,343.609," "
12, 7000000 ,394.055," "
13, 7000000 ,390.385," "
14, 7000000 ,407.522," "
15, 7000000 ,446.4," "
16, 7000000 ,379.795," "
1, 8000000 ,59.7247," "
2, 8000000 ,101.08," "
3, 8000000 ,141.54," "
4, 8000000 ,158.986," "
5, 8000000 ,209.331," "
6, 8000000 ,202.989," "
7, 8000000 ,271.684," "
8, 8000000 ,301.967," "
9, 8000000 ,326.224," "
10, 8000000 ,352.889," "
11, 8000000 ,338.295," "
12, 8000000 ,406.442," "
13, 8000000 ,425.6," "
14, 8000000 ,439.996," "
15, 8000000 ,466.608," "
16, 8000000 ,496.001," "
1, 9000000 ,57.3," "
2, 9000000 ,105.63," "
3, 9000000 ,144.069," "
4, 9000000 ,180.455," "
5, 9000000 ,213.018," "
6, 9000000 ,245.64," "
7, 9000000 ,277.427," "
8, 9000000 ,310.698," "
9, 9000000 ,339.866," "
10, 9000000 ,368.641," "
11, 9000000 ,386.648," "
12, 9000000 ,405.314," "
13, 9000000 ,368.565," "
14, 9000000 ,405.515," "
15, 9000000 ,468.165," "
16, 9000000 ,508.906," "
1, 10000000 ,66.4995," "
2, 10000000 ,109.181," "
3, 10000000 ,146.787," "
4, 10000000 ,178.463," "
5, 10000000 ,219.274," "
6, 10000000 ,254.615," "
7, 10000000 ,285.014," "
8, 10000000 ,316.746," "
9, 10000000 ,341.262," "
10, 10000000 ,373.441," "
11, 10000000 ,387.672," "
12, 10000000 ,426.621," "
13, 10000000 ,449.156," "
14, 10000000 ,469.859," "
15, 10000000 ,482.183," "
16, 10000000 ,515.013," "
1, 1000000 ,39.9361," "
2, 1000000 ,68.1013," "
3, 1000000 ,88.5897," "
4, 1000000 ,105.641," "
5, 1000000 ,118.497," "
6, 1000000 ,125.078," "
7, 1000000 ,139.762," "
8, 1000000 ,139.704," "
9, 1000000 ,139.256," "
10, 1000000 ,158.253," "
11, 1000000 ,150.015," "
12, 1000000 ,164.555," "
13, 1000000 ,162.76," "
14, 1000000 ,154.727," "
15, 1000000 ,116.198," "
16, 1000000 ,75.1315," "
1, 2000000 ,45.1243," "
2, 2000000 ,80.0352," "
3, 2000000 ,108.073," "
4, 2000000 ,133.627," "
5, 2000000 ,153.917," "
6, 2000000 ,175.07," "
7, 2000000 ,185.185," "
8, 2000000 ,209.074," "
9, 2000000 ,212.54," "
10, 2000000 ,201.837," "
11, 2000000 ,180.408," "
12, 2000000 ,239.091," "
13, 2000000 ,102.838," "
14, 2000000 ,67.4241," "
15, 2000000 ,260.417," "
16, 2000000 ,107.991," "
1, 3000000 ,48.0615," "
2, 3000000 ,86.3707," "
3, 3000000 ,115.852," "
4, 3000000 ,146.836," "
5, 3000000 ,173.601," "
6, 3000000 ,194.717," "
7, 3000000 ,200.884," "
8, 3000000 ,227.083," "
9, 3000000 ,243.171," "
10, 3000000 ,261.028," "
11, 3000000 ,278.759," "
12, 3000000 ,264.667," "
13, 3000000 ,195.529," "
14, 3000000 ,314.597," "
15, 3000000 ,171.038," "
16, 3000000 ,142.789," "
1, 4000000 ,50.888," "
2, 4000000 ,90.3975," "
3, 4000000 ,112.363," "
4, 4000000 ,154.256," "
5, 4000000 ,182.091," "
6, 4000000 ,209.875," "
7, 4000000 ,229.24," "
8, 4000000 ,242.365," "
9, 4000000 ,275.33," "
10, 4000000 ,297.996," "
11, 4000000 ,311.988," "
12, 4000000 ,317.763," "
13, 4000000 ,343.731," "
14, 4000000 ,348.553," "
15, 4000000 ,298.82," "
16, 4000000 ,308.214," "
1, 5000000 ,52.8994," "
2, 5000000 ,93.181," "
3, 5000000 ,128.66," "
4, 5000000 ,162.327," "
5, 5000000 ,184.584," "
6, 5000000 ,231.332," "
7, 5000000 ,242.002," "
8, 5000000 ,258.572," "
9, 5000000 ,289.973," "
10, 5000000 ,308.585," "
11, 5000000 ,331.543," "
12, 5000000 ,350.238," "
13, 5000000 ,351," "
14, 5000000 ,379.766," "
15, 5000000 ,389.742," "
16, 5000000 ,258.772," "
1, 6000000 ,50.1584," "
2, 6000000 ,98.3526," "
3, 6000000 ,132.521," "
4, 6000000 ,152.952," "
5, 6000000 ,199.23," "
6, 6000000 ,231.929," "
7, 6000000 ,257.887," "
8, 6000000 ,281.465," "
9, 6000000 ,305.592," "
10, 6000000 ,208.667," "
11, 6000000 ,352.775," "
12, 6000000 ,380.18," "
13, 6000000 ,361.773," "
14, 6000000 ,415.656," "
15, 6000000 ,427.046," "
16, 6000000 ,239.597," "
1, 7000000 ,52.3858," "
2, 7000000 ,100.936," "
3, 7000000 ,137.519," "
4, 7000000 ,165.782," "
5, 7000000 ,204.942," "
6, 7000000 ,231," "
7, 7000000 ,266.555," "
8, 7000000 ,298.724," "
9, 7000000 ,291.072," "
10, 7000000 ,352.45," "
11, 7000000 ,338.36," "
12, 7000000 ,408.235," "
13, 7000000 ,398.656," "
14, 7000000 ,429.501," "
15, 7000000 ,451.205," "
16, 7000000 ,466.667," "
1, 8000000 ,59.4995," "
